bag_timestamp_ns,load_cell_field_0,load_cell_field_1,load_cell_field_2,load_cell_field_3,load_cell_field_4,load_cell_field_5,load_cell_timestamp,load_cell_reading,actuator_displacement
1710527415921941065,2.0,-13860.0,-60.05,642.0,2.0,2.0,-13860.0,-60.05,642.0
1710527416466613992,3.0,-13360.0,-59.56,642.5,2.0,2.0,-13360.0,-59.56,642.5
1710527417014625926,4.0,-12860.0,-50.41,643.0,2.0,2.0,-12860.0,-50.41,643.0
1710527417559711893,5.0,-12360.0,-39.57,643.5,2.0,2.0,-12360.0,-39.57,643.5
1710527418104518414,6.0,-11860.0,-20.58,644.0,2.0,2.0,-11860.0,-20.58,644.0
1710527418649561507,7.0,-11360.0,-6.06,644.5,2.0,2.0,-11360.0,-6.06,644.5
1710527419194118523,8.0,-10860.0,6.08,645.0,2.0,2.0,-10860.0,6.08,645.0
1710527419742225713,9.0,-10360.0,23.22,645.5,2.0,2.0,-10360.0,23.22,645.5
1710527420287348468,10.0,-9860.0,44.25,646.0,2.0,2.0,-9860.0,44.25,646.0
1710527420832464451,11.0,-9360.0,59.23,646.5,2.0,2.0,-9360.0,59.23,646.5
1710527421377244425,12.0,-8860.0,72.87,647.0,2.0,2.0,-8860.0,72.87,647.0
1710527421922113549,13.0,-8360.0,88.99,647.5,2.0,2.0,-8360.0,88.99,647.5
1710527422470333696,14.0,-7860.0,104.47,648.0,2.0,2.0,-7860.0,104.47,648.0
1710527423015429346,15.0,-7360.0,121.67,648.5,2.0,2.0,-7360.0,121.67,648.5
1710527423560077574,16.0,-6860.0,137.78,649.0,2.0,2.0,-6860.0,137.78,649.0
1710527424105044194,17.0,-6360.0,159.72,649.5,2.0,2.0,-6360.0,159.72,649.5
1710527424649880351,18.0,-5860.0,179.65,650.0,2.0,2.0,-5860.0,179.65,650.0
1710527425198236167,19.0,-5360.0,198.75,650.5,2.0,2.0,-5360.0,198.75,650.5
1710527425742850214,20.0,-4860.0,210.87,651.0,2.0,2.0,-4860.0,210.87,651.0
1710527426288080222,21.0,-4360.0,221.17,651.5,2.0,2.0,-4360.0,221.17,651.5
1710527426832857146,22.0,-3860.0,230.91,652.0,2.0,2.0,-3860.0,230.91,652.0
1710527427377729169,23.0,-3360.0,246.03,652.5,2.0,2.0,-3360.0,246.03,652.5
1710527427925897677,24.0,-2860.0,255.26,653.0,2.0,2.0,-2860.0,255.26,653.0
1710527428471185987,25.0,-2360.0,267.15,653.5,2.0,2.0,-2360.0,267.15,653.5
1710527429016069253,26.0,-1860.0,273.29,654.0,2.0,2.0,-1860.0,273.29,654.0
1710527429560629164,27.0,-1360.0,284.67,654.5,2.0,2.0,-1360.0,284.67,654.5
1710527430109058652,28.0,-860.0,298.9,655.0,2.0,2.0,-860.0,298.9,655.0
