bag_timestamp_ns,accel1_x,accel1_y,accel1_z
1710534145068137118,8.028105735778809,1.217867374420166,-5.760022163391113
1710534145082641426,8.029302597045898,1.2058923244476318,-5.738466739654541
1710534145138253388,8.019722938537598,1.221459984779358,-5.774392127990723
1710534145166894472,8.022117614746094,1.2011022567749023,-5.751639366149902
1710534145187752145,8.028105735778809,1.2082873582839966,-5.755231857299805
1710534145229713034,8.034092903137207,1.2202624082565308,-5.762416839599609
1710534145249210498,8.025710105895996,1.203497290611267,-5.742059230804443
1710534145259446950,8.038883209228516,1.2238550186157227,-5.751639366149902
1710534145286543464,8.038883209228516,1.2238550186157227,-5.751639366149902
1710534145294900108,8.028105735778809,1.2262500524520874,-5.760022163391113
1710534145309633422,8.034092903137207,1.2166699171066284,-5.730084419250488
1710534145338880081,8.034092903137207,1.2226574420928955,-5.751639366149902
1710534145360078184,8.0233154296875,1.2082873582839966,-5.745651721954346
1710534145420845831,8.024513244628906,1.2298425436019897,-5.763614654541016
1710534145467133846,8.029302597045898,1.221459984779358,-5.74325704574585
1710534145473492764,8.042475700378418,1.2346326112747192,-5.749244213104248
1710534145513458360,8.048462867736816,1.2022998332977295,-5.768404483795166
1710534145532661208,8.026907920837402,1.2046948671340942,-5.762416839599609
1710534145549471498,8.026907920837402,1.2011022567749023,-5.755231857299805
1710534145568239345,8.03768539428711,1.2262500524520874,-5.756429672241211
1710534145580755687,8.036487579345703,1.2094848155975342,-5.760022163391113
1710534145599758120,8.03768539428711,1.213077425956726,-5.777984619140625
1710534145625151477,8.036487579345703,1.2022998332977295,-5.751639366149902
1710534145646883903,8.041277885437012,1.2298425436019897,-5.746849536895752
1710534145692572269,8.0328950881958,1.2166699171066284,-5.748046875
1710534145711194755,8.0328950881958,1.2142748832702637,-5.764811992645264
1710534145736519349,8.029302597045898,1.211879849433899,-5.756429672241211
1710534145753160008,8.0328950881958,1.203497290611267,-5.746849536895752
1710534145772200283,8.050858497619629,1.2142748832702637,-5.744454383850098
1710534145788985578,8.036487579345703,1.2166699171066284,-5.771996974945068
1710534145812027437,8.035290718078613,1.233435034751892,-5.77079963684082
1710534145816276589,8.028105735778809,1.2190649509429932,-5.764811992645264
1710534145868796047,8.022117614746094,1.2106823921203613,-5.788762092590332
1710534145908717189,8.036487579345703,1.2082873582839966,-5.732479095458984
1710534145929749455,8.030500411987305,1.2226574420928955,-5.746849536895752
1710534145942435215,8.012537956237793,1.2466076612472534,-5.77079963684082
1710534145961558956,8.031698226928711,1.2142748832702637,-5.757627010345459
1710534145971850691,8.026907920837402,1.2142748832702637,-5.757627010345459
1710534145986646012,8.0328950881958,1.207089900970459,-5.750442028045654
1710534146020386612,8.036487579345703,1.1951147317886353,-5.77079963684082
