bag_timestamp_ns,load_cell_field_0,load_cell_field_1,load_cell_field_2,load_cell_field_3,load_cell_field_4,load_cell_field_5,load_cell_timestamp,load_cell_reading,actuator_displacement
1710535260427905607,2.0,-17432.0,0.52,769.5,2.0,2.0,-17432.0,0.52,769.5
1710535260973093512,3.0,-16932.0,11.57,770.0,2.0,2.0,-16932.0,11.57,770.0
1710535261517886165,4.0,-16432.0,15.96,770.5,2.0,2.0,-16432.0,15.96,770.5
1710535262062829461,5.0,-15932.0,18.44,771.0,2.0,2.0,-15932.0,18.44,771.0
1710535262611137532,6.0,-15432.0,19.35,771.5,2.0,2.0,-15432.0,19.35,771.5
1710535263156186390,7.0,-14932.0,20.55,772.0,2.0,2.0,-14932.0,20.55,772.0
1710535263700889934,8.0,-14432.0,26.4,772.5,2.0,2.0,-14432.0,26.4,772.5
1710535264245889533,9.0,-13932.0,23.26,773.0,2.0,2.0,-13932.0,23.26,773.0
1710535264791077021,10.0,-13432.0,27.73,773.5,2.0,2.0,-13432.0,27.73,773.5
1710535265339124788,11.0,-12932.0,28.91,774.0,2.0,2.0,-12932.0,28.91,774.0
1710535265884054019,12.0,-12432.0,34.15,774.5,2.0,2.0,-12432.0,34.15,774.5
1710535266428578378,13.0,-11932.0,32.97,775.0,2.0,2.0,-11932.0,32.97,775.0
1710535266973766790,14.0,-11432.0,39.18,775.5,2.0,2.0,-11432.0,39.18,775.5
1710535267518677719,15.0,-10932.0,42.86,776.0,2.0,2.0,-10932.0,42.86,776.0
1710535268066766256,16.0,-10432.0,47.4,776.5,2.0,2.0,-10432.0,47.4,776.5
1710535268611743872,17.0,-9932.0,49.2,777.0,2.0,2.0,-9932.0,49.2,777.0
1710535269156808465,18.0,-9432.0,51.88,777.5,2.0,2.0,-9432.0,51.88,777.5
1710535269701534628,19.0,-8932.0,52.83,778.0,2.0,2.0,-8932.0,52.83,778.0
1710535270246070307,20.0,-8432.0,59.97,778.5,2.0,2.0,-8432.0,59.97,778.5
1710535270794818799,21.0,-7932.0,62.09,779.0,2.0,2.0,-7932.0,62.09,779.0
1710535271339721723,22.0,-7432.0,63.58,779.5,2.0,2.0,-7432.0,63.58,779.5
1710535271884446184,23.0,-6932.0,68.78,780.0,2.0,2.0,-6932.0,68.78,780.0
1710535272429054856,24.0,-6432.0,75.87,780.5,2.0,2.0,-6432.0,75.87,780.5
1710535272974306472,25.0,-5932.0,71.8,781.0,2.0,2.0,-5932.0,71.8,781.0
1710535273522561752,26.0,-5432.0,72.79,781.5,2.0,2.0,-5432.0,72.79,781.5
1710535274067463977,27.0,-4932.0,77.28,782.0,2.0,2.0,-4932.0,77.28,782.0
1710535274612438055,28.0,-4432.0,84.18,782.5,2.0,2.0,-4432.0,84.18,782.5
1710535275157388390,29.0,-3932.0,86.54,783.0,2.0,2.0,-3932.0,86.54,783.0
