bag_timestamp_ns,accel0_x,accel0_y,accel0_z
1710529087941489196,-8.714278221130371,-2.69439697265625,-3.1494507789611816
1710529087951984618,-8.647217750549316,-2.654879093170166,-3.142265558242798
1710529087958520587,-8.722661018371582,-2.683619499206543,-3.1171178817749023
1710529087968838185,-8.679551124572754,-2.733914852142334,-3.105142831802368
1710529087986064443,-8.674760818481445,-2.7710375785827637,-3.1566357612609863
1710529088055421058,-8.703500747680664,-2.8608508110046387,-3.162623405456543
1710529088093072197,-8.7322416305542,-2.8009753227233887,-3.1398706436157227
1710529088124818965,-8.680747985839844,-2.742297410964966,-3.1302905082702637
1710529088160436833,-8.702303886413574,-2.5004003047943115,-3.144660711288452
1710529088164570272,-8.738228797912598,-2.744692325592041,-3.093167781829834
1710529088196422771,-8.702303886413574,-2.8105554580688477,-3.184178352355957
1710529088231632762,-8.665180206298828,-2.8476781845092773,-3.2332763671875
1710529088271660517,-8.743019104003906,-2.705174446105957,-3.112327814102173
1710529088313408254,-8.690328598022461,-2.7315196990966797,-3.1698083877563477
1710529088334671843,-8.699908256530762,-2.605781316757202,-3.08598256111145
1710529088378966478,-8.709488868713379,-2.7183470726013184,-3.230881452560425
1710529088391559941,-8.77894401550293,-2.6512866020202637,-3.1889684200286865
1710529088418849011,-8.707093238830566,-3.08598256111145,-3.17340087890625
1710529088456741320,-8.817264556884766,-2.2393431663513184,-3.084785223007202
1710529088467133570,-8.65919303894043,-2.8883936405181885,-3.2165112495422363
1710529088473358744,-8.684340476989746,-2.5087828636169434,-3.171005964279175
1710529088496378982,-8.766968727111816,-2.714754581451416,-3.113525390625
1710529088502711824,-8.58494758605957,-2.733914852142334,-3.155438184738159
1710529088532234377,-8.796906471252441,-2.553090810775757,-3.0476622581481934
1710529088547106019,-8.766968727111816,-2.623744010925293,-3.2284862995147705
1710529088576691517,-8.628057479858398,-2.7794201374053955,-3.1566357612609863
1710529088620715897,-8.616083145141602,-2.644101619720459,-3.0907726287841797
1710529088666745925,-8.635242462158203,-2.5794360637664795,-3.112327814102173
1710529088681575283,-8.722661018371582,-2.6201512813568115,-3.093167781829834
1710529088707192957,-8.686736106872559,-2.7866051197052,-3.194956064224243
1710529088713525226,-8.697513580322266,-2.622546434402466,-3.041674852371216
1710529088738718560,-8.717870712280273,-2.7399022579193115,-3.1171178817749023
1710529088749149527,-8.721463203430176,-2.6596691608428955,-3.1171178817749023
1710529088770171858,-8.679551124572754,-2.7410998344421387,-3.1674132347106934
1710529088791280671,-8.686736106872559,-2.6081762313842773,-3.094365119934082
1710529088815144723,-8.709488868713379,-2.793790340423584,-3.1973509788513184
1710529088856400051,-8.679551124572754,-2.682421922683716,-3.132685661315918
1710529088873201482,-8.707093238830566,-2.7375073432922363,-3.1901659965515137
1710529088904716507,-8.708291053771973,-2.7219398021698,-3.105142831802368
1710529088959471663,-8.705896377563477,-2.6991870403289795,-3.1171178817749023
1710529088999358733,-8.668773651123047,-2.6884093284606934,-3.135080575942993
1710529089037344459,-8.655600547790527,-2.755470037460327,-3.3063244819641113
1710529089050123768,-8.7514009475708,-2.842888116836548,-3.192561149597168
1710529089091764433,-8.731043815612793,-2.6572742462158203,-3.163820743560791
1710529089117107891,-8.716673851013184,-2.745889902114868,-3.105142831802368
1710529089188629321,-8.766968727111816,-2.6979894638061523,-3.0608348846435547
1710529089215958453,-8.701106071472168,-2.6512866020202637,-3.1075377464294434
1710529089238931561,-8.740623474121094,-2.686014413833618,-3.161425828933716
1710529089268367931,-8.711883544921875,-2.6704468727111816,-3.1590306758880615
1710529089293449096,-8.686736106872559,-2.7590625286102295,-3.1458580493927
1710529089314412864,-8.635242462158203,-2.645298957824707,-3.131488084793091
1710529089335655774,-8.731043815612793,-2.7410998344421387,-3.191363573074341
1710529089344157089,-8.695117950439453,-2.6213488578796387,-3.1195130348205566
1710529089350407067,-8.716673851013184,-2.713557243347168,-3.193758487701416
1710529089375699690,-8.707093238830566,-2.783012628555298,-3.132685661315918
1710529089413477169,-8.710685729980469,-2.7494823932647705,-3.1099328994750977
1710529089440916313,-8.71906852722168,-2.7375073432922363,-3.1302905082702637
