bag_timestamp_ns,load_cell_field_0,load_cell_field_1,load_cell_field_2,load_cell_field_3,load_cell_field_4,load_cell_field_5,load_cell_timestamp,load_cell_reading,actuator_displacement
1710532717412915140,2.0,22464.0,-37.98,88.5,2.0,2.0,22464.0,-37.98,88.5
1710532717957821538,3.0,22964.0,-39.73,89.0,2.0,2.0,22964.0,-39.73,89.0
1710532718506182142,4.0,23464.0,-36.87,89.5,2.0,2.0,23464.0,-36.87,89.5
1710532719051135348,5.0,23964.0,-38.2,90.0,2.0,2.0,23964.0,-38.2,90.0
1710532719595937430,6.0,24464.0,-38.4,90.5,2.0,2.0,24464.0,-38.4,90.5
1710532720140874897,7.0,24964.0,-37.65,91.0,2.0,2.0,24964.0,-37.65,91.0
1710532720685961747,8.0,25464.0,-37.87,91.5,2.0,2.0,25464.0,-37.87,91.5
1710532721233887210,9.0,25964.0,-22.9,92.0,2.0,2.0,25964.0,-22.9,92.0
1710532721778990252,10.0,26464.0,-20.72,92.5,2.0,2.0,26464.0,-20.72,92.5
1710532722323907238,11.0,26964.0,-11.85,93.0,2.0,2.0,26964.0,-11.85,93.0
1710532722874866738,12.0,27464.0,-5.86,93.5,2.0,2.0,27464.0,-5.86,93.5
1710532723413869293,13.0,27964.0,8.73,94.0,2.0,2.0,27964.0,8.73,94.0
1710532723961940270,14.0,28464.0,19.41,94.5,2.0,2.0,28464.0,19.41,94.5
1710532724506620572,15.0,28964.0,31.02,95.0,2.0,2.0,28964.0,31.02,95.0
1710532725051661515,16.0,29464.0,31.81,95.5,2.0,2.0,29464.0,31.81,95.5
1710532725596390581,17.0,29964.0,47.18,96.0,2.0,2.0,29964.0,47.18,96.0
1710532726141255487,18.0,30464.0,69.72,96.5,2.0,2.0,30464.0,69.72,96.5
1710532726689425026,19.0,30964.0,81.98,97.0,2.0,2.0,30964.0,81.98,97.0
1710532727234459380,20.0,31464.0,97.9,97.5,2.0,2.0,31464.0,97.9,97.5
1710532727779421221,21.0,31964.0,123.43,98.0,2.0,2.0,31964.0,123.43,98.0
1710532728323954999,22.0,32464.0,139.04,98.5,2.0,2.0,32464.0,139.04,98.5
1710532728872294265,23.0,-32572.0,149.95,99.0,2.0,2.0,-32572.0,149.95,99.0
1710532729417481077,24.0,-32072.0,172.18,99.5,2.0,2.0,-32072.0,172.18,99.5
1710532729962683647,25.0,-31572.0,176.8,100.0,2.0,2.0,-31572.0,176.8,100.0
1710532730507279308,26.0,-31072.0,203.48,100.5,2.0,2.0,-31072.0,203.48,100.5
1710532731052281807,27.0,-30572.0,214.22,101.0,2.0,2.0,-30572.0,214.22,101.0
1710532731600616303,28.0,-30072.0,215.19,101.5,2.0,2.0,-30072.0,215.19,101.5
1710532732145474447,29.0,-29572.0,209.82,102.0,2.0,2.0,-29572.0,209.82,102.0
1710532732690016559,30.0,-29072.0,241.33,102.5,2.0,2.0,-29072.0,241.33,102.5
1710532733235269782,31.0,-28572.0,261.99,103.0,2.0,2.0,-28572.0,261.99,103.0
1710532733780319939,32.0,-28072.0,275.22,103.5,2.0,2.0,-28072.0,275.22,103.5
1710532734328557819,33.0,-27572.0,301.89,104.0,2.0,2.0,-27572.0,301.89,104.0
1710532734872985641,34.0,-27072.0,336.61,104.5,2.0,2.0,-27072.0,336.61,104.5
1710532735418194573,35.0,-26572.0,363.57,105.0,2.0,2.0,-26572.0,363.57,105.0
1710532735963306812,36.0,-26072.0,373.51,105.5,2.0,2.0,-26072.0,373.51,105.5
1710532736511752749,37.0,-25572.0,404.46,106.0,2.0,2.0,-25572.0,404.46,106.0
1710532737056424690,38.0,-25072.0,435.51,106.5,2.0,2.0,-25072.0,435.51,106.5
1710532737601529435,39.0,-24572.0,467.45,107.0,2.0,2.0,-24572.0,467.45,107.0
1710532738146199039,40.0,-24072.0,500.91,107.5,2.0,2.0,-24072.0,500.91,107.5
1710532738691250445,41.0,-23572.0,528.39,108.0,2.0,2.0,-23572.0,528.39,108.0
1710532739239587184,42.0,-23072.0,559.33,108.5,2.0,2.0,-23072.0,559.33,108.5
1710532739784437346,43.0,-22572.0,459.69,109.0,2.0,2.0,-22572.0,459.69,109.0
1710532740329392854,44.0,-22072.0,477.14,109.5,2.0,2.0,-22072.0,477.14,109.5
1710532740873803293,45.0,-21572.0,509.67,110.0,2.0,2.0,-21572.0,509.67,110.0
1710532741422453444,46.0,-21072.0,548.45,110.5,2.0,2.0,-21072.0,548.45,110.5
1710532741966665091,47.0,-20572.0,583.93,111.0,2.0,2.0,-20572.0,583.93,111.0
1710532742511611323,48.0,-20072.0,588.19,111.5,2.0,2.0,-20072.0,588.19,111.5
1710532743056413543,49.0,-19572.0,613.0,112.0,2.0,2.0,-19572.0,613.0,112.0
1710532743605690299,50.0,-19072.0,646.03,112.5,2.0,2.0,-19072.0,646.03,112.5
1710532744150575204,51.0,-18572.0,666.29,113.0,2.0,2.0,-18572.0,666.29,113.0
1710532744695508914,52.0,-18072.0,709.24,113.5,2.0,2.0,-18072.0,709.24,113.5
1710532745240164904,53.0,-17572.0,736.14,114.0,2.0,2.0,-17572.0,736.14,114.0
1710532745785724537,54.0,-17072.0,770.98,114.5,2.0,2.0,-17072.0,770.98,114.5
1710532746333588109,55.0,-16572.0,801.36,115.0,2.0,2.0,-16572.0,801.36,115.0
1710532746877997496,56.0,-16072.0,730.18,115.5,2.0,2.0,-16072.0,730.18,115.5
1710532747423270945,57.0,-15572.0,781.41,116.0,2.0,2.0,-15572.0,781.41,116.0
1710532747968452258,58.0,-15072.0,823.59,116.5,2.0,2.0,-15072.0,823.59,116.5
1710532748516670970,59.0,-14572.0,845.79,117.0,2.0,2.0,-14572.0,845.79,117.0
1710532749061524889,60.0,-14072.0,888.17,117.5,2.0,2.0,-14072.0,888.17,117.5
1710532749606389602,61.0,-13572.0,912.3,118.0,2.0,2.0,-13572.0,912.3,118.0
1710532750151409056,62.0,-13072.0,950.71,118.5,2.0,2.0,-13072.0,950.71,118.5
1710532750695807053,63.0,-12572.0,981.66,119.0,2.0,2.0,-12572.0,981.66,119.0
1710532751244397878,64.0,-12072.0,1017.34,119.5,2.0,2.0,-12072.0,1017.34,119.5
