bag_timestamp_ns,load_cell_field_0,load_cell_field_1,load_cell_field_2,load_cell_field_3,load_cell_field_4,load_cell_field_5,load_cell_timestamp,load_cell_reading,actuator_displacement
1710536419048520327,3.0,29960.0,-26.85,1013.5,2.0,2.0,29960.0,-26.85,1013.5
1710536419593043512,4.0,30460.0,-21.14,1014.0,2.0,2.0,30460.0,-21.14,1014.0
1710536420137958887,5.0,30960.0,-21.58,1014.5,2.0,2.0,30960.0,-21.58,1014.5
1710536420686357709,6.0,31460.0,-13.94,1015.0,2.0,2.0,31460.0,-13.94,1015.0
1710536421231206242,7.0,31960.0,-9.47,1015.5,2.0,2.0,31960.0,-9.47,1015.5
1710536421776372185,8.0,32460.0,-10.8,1016.0,2.0,2.0,32460.0,-10.8,1016.0
1710536422321131179,9.0,-32576.0,-6.49,1016.5,2.0,2.0,-32576.0,-6.49,1016.5
1710536422866021178,10.0,-32076.0,3.32,1017.0,2.0,2.0,-32076.0,3.32,1017.0
1710536423414076717,11.0,-31576.0,7.77,1017.5,2.0,2.0,-31576.0,7.77,1017.5
1710536423958853950,12.0,-31076.0,9.31,1018.0,2.0,2.0,-31076.0,9.31,1018.0
1710536424504123419,13.0,-30576.0,15.73,1018.5,2.0,2.0,-30576.0,15.73,1018.5
1710536425049062992,14.0,-30076.0,30.8,1019.0,2.0,2.0,-30076.0,30.8,1019.0
1710536425597312930,15.0,-29576.0,39.7,1019.5,2.0,2.0,-29576.0,39.7,1019.5
1710536426142310206,16.0,-29076.0,43.48,1020.0,2.0,2.0,-29076.0,43.48,1020.0
1710536426687131291,17.0,-28576.0,46.74,1020.5,2.0,2.0,-28576.0,46.74,1020.5
1710536427232563377,18.0,-28076.0,57.41,1021.0,2.0,2.0,-28076.0,57.41,1021.0
1710536427780318291,19.0,-27576.0,64.89,1021.5,2.0,2.0,-27576.0,64.89,1021.5
1710536428325341874,20.0,-27076.0,71.09,1022.0,2.0,2.0,-27076.0,71.09,1022.0
1710536428869981066,21.0,-26576.0,46.07,1022.5,2.0,2.0,-26576.0,46.07,1022.5
1710536429414671531,22.0,-26076.0,56.17,1023.0,2.0,2.0,-26076.0,56.17,1023.0
1710536429959940019,23.0,-25576.0,73.52,1023.5,2.0,2.0,-25576.0,73.52,1023.5
1710536430508393890,24.0,-25076.0,82.51,1024.0,2.0,2.0,-25076.0,82.51,1024.0
1710536431053204676,25.0,-24576.0,86.04,1024.5,2.0,2.0,-24576.0,86.04,1024.5
1710536431597969432,26.0,-24076.0,85.56,1025.0,2.0,2.0,-24076.0,85.56,1025.0
1710536432142954724,27.0,-23576.0,94.37,1025.5,2.0,2.0,-23576.0,94.37,1025.5
1710536432691321457,28.0,-23076.0,103.11,1026.0,2.0,2.0,-23076.0,103.11,1026.0
1710536433236230339,29.0,-22576.0,108.31,1026.5,2.0,2.0,-22576.0,108.31,1026.5
1710536433781009785,30.0,-22076.0,103.56,1027.0,2.0,2.0,-22076.0,103.56,1027.0
1710536434326057558,31.0,-21576.0,123.33,1027.5,2.0,2.0,-21576.0,123.33,1027.5
1710536434874415811,32.0,-21076.0,130.24,1028.0,2.0,2.0,-21076.0,130.24,1028.0
1710536435419038821,33.0,-20576.0,137.24,1028.5,2.0,2.0,-20576.0,137.24,1028.5
1710536435964445985,34.0,-20076.0,125.44,1029.0,2.0,2.0,-20076.0,125.44,1029.0
1710536436509327211,35.0,-19576.0,147.12,1029.5,2.0,2.0,-19576.0,147.12,1029.5
1710536437057623009,36.0,-19076.0,145.34,1030.0,2.0,2.0,-19076.0,145.34,1030.0
1710536437602547965,37.0,-18576.0,152.86,1030.5,2.0,2.0,-18576.0,152.86,1030.5
1710536438147405027,38.0,-18076.0,155.87,1031.0,2.0,2.0,-18076.0,155.87,1031.0
1710536438692273715,39.0,-17576.0,159.38,1031.5,2.0,2.0,-17576.0,159.38,1031.5
1710536439240606749,40.0,-17076.0,181.25,1032.0,2.0,2.0,-17076.0,181.25,1032.0
1710536439785582100,41.0,-16576.0,182.09,1032.5,2.0,2.0,-16576.0,182.09,1032.5
1710536440330392912,42.0,-16076.0,174.61,1033.0,2.0,2.0,-16076.0,174.61,1033.0
1710536440875360407,43.0,-15576.0,178.98,1033.5,2.0,2.0,-15576.0,178.98,1033.5
1710536441423566971,44.0,-15076.0,191.93,1034.0,2.0,2.0,-15076.0,191.93,1034.0
1710536441968606871,45.0,-14576.0,194.88,1034.5,2.0,2.0,-14576.0,194.88,1034.5
1710536442513773779,46.0,-14076.0,190.73,1035.0,2.0,2.0,-14076.0,190.73,1035.0
1710536443058255067,47.0,-13576.0,177.39,1035.5,2.0,2.0,-13576.0,177.39,1035.5
1710536443606419410,48.0,-13076.0,191.6,1036.0,2.0,2.0,-13076.0,191.6,1036.0
1710536444151491719,49.0,-12576.0,196.15,1036.5,2.0,2.0,-12576.0,196.15,1036.5
1710536444696380746,50.0,-12076.0,203.14,1037.0,2.0,2.0,-12076.0,203.14,1037.0
1710536445241469989,51.0,-11576.0,203.14,1037.5,2.0,2.0,-11576.0,203.14,1037.5
1710536445786592696,52.0,-11076.0,216.55,1038.0,2.0,2.0,-11076.0,216.55,1038.0
1710536446334634627,53.0,-10576.0,221.64,1038.5,2.0,2.0,-10576.0,221.64,1038.5
1710536446879661598,54.0,-10076.0,230.7,1039.0,2.0,2.0,-10076.0,230.7,1039.0
1710536447424678872,55.0,-9576.0,241.03,1039.5,2.0,2.0,-9576.0,241.03,1039.5
1710536447969541484,56.0,-9076.0,238.23,1040.0,2.0,2.0,-9076.0,238.23,1040.0
1710536448517795497,57.0,-8576.0,253.89,1040.5,2.0,2.0,-8576.0,253.89,1040.5
1710536449062583537,58.0,-8076.0,254.27,1041.0,2.0,2.0,-8076.0,254.27,1041.0
1710536449607636144,59.0,-7576.0,259.78,1041.5,2.0,2.0,-7576.0,259.78,1041.5
1710536450152363665,60.0,-7076.0,261.54,1042.0,2.0,2.0,-7076.0,261.54,1042.0
1710536450700793251,61.0,-6576.0,269.24,1042.5,2.0,2.0,-6576.0,269.24,1042.5
1710536451245422966,62.0,-6076.0,270.22,1043.0,2.0,2.0,-6076.0,270.22,1043.0
1710536451790483420,63.0,-5576.0,275.46,1043.5,2.0,2.0,-5576.0,275.46,1043.5
1710536452335417288,64.0,-5076.0,286.95,1044.0,2.0,2.0,-5076.0,286.95,1044.0
1710536452880505270,65.0,-4576.0,301.24,1044.5,2.0,2.0,-4576.0,301.24,1044.5
1710536453428866556,66.0,-4076.0,309.21,1045.0,2.0,2.0,-4076.0,309.21,1045.0
1710536453973760681,67.0,-3576.0,309.7,1045.5,2.0,2.0,-3576.0,309.7,1045.5
1710536454518488634,68.0,-3076.0,317.25,1046.0,2.0,2.0,-3076.0,317.25,1046.0
1710536455063230249,69.0,-2576.0,313.27,1046.5,2.0,2.0,-2576.0,313.27,1046.5
1710536455611567064,70.0,-2076.0,320.5,1047.0,2.0,2.0,-2076.0,320.5,1047.0
1710536456156692795,71.0,-1576.0,327.45,1047.5,2.0,2.0,-1576.0,327.45,1047.5
1710536456701494815,72.0,-1076.0,339.83,1048.0,2.0,2.0,-1076.0,339.83,1048.0
1710536457246562975,73.0,-576.0,346.28,1048.5,2.0,2.0,-576.0,346.28,1048.5
1710536457791300601,74.0,-76.0,359.65,1049.0,2.0,2.0,-76.0,359.65,1049.0
1710536458339619948,75.0,424.0,353.44,1049.5,2.0,2.0,424.0,353.44,1049.5
1710536458884617092,76.0,924.0,365.08,1050.0,2.0,2.0,924.0,365.08,1050.0
1710536459429577810,77.0,1424.0,373.62,1050.5,2.0,2.0,1424.0,373.62,1050.5
