bag_timestamp_ns,load_cell_field_0,load_cell_field_1,load_cell_field_2,load_cell_field_3,load_cell_field_4,load_cell_field_5,load_cell_timestamp,load_cell_reading,actuator_displacement
1710525374230960248,3.0,10320.0,-55.24,338.5,2.0,2.0,10320.0,-55.24,338.5
1710525374779652090,4.0,10820.0,-37.56,339.0,2.0,2.0,10820.0,-37.56,339.0
1710525375324123997,5.0,11320.0,-7.17,339.5,2.0,2.0,11320.0,-7.17,339.5
1710525375869174632,6.0,11820.0,35.24,340.0,2.0,2.0,11820.0,35.24,340.0
1710525376417593548,7.0,12320.0,62.24,340.5,2.0,2.0,12320.0,62.24,340.5
1710525376958960050,8.0,12820.0,103.99,341.0,2.0,2.0,12820.0,103.99,341.0
1710525377503788580,9.0,13320.0,143.76,341.5,2.0,2.0,13320.0,143.76,341.5
1710525378052392441,10.0,13820.0,193.88,342.0,2.0,2.0,13820.0,193.88,342.0
1710525378597060996,11.0,14320.0,251.79,342.5,2.0,2.0,14320.0,251.79,342.5
1710525379141865977,12.0,14820.0,310.53,343.0,2.0,2.0,14820.0,310.53,343.0
1710525379686647579,13.0,15320.0,375.2,343.5,2.0,2.0,15320.0,375.2,343.5
1710525380235171169,14.0,15820.0,457.65,344.0,2.0,2.0,15820.0,457.65,344.0
1710525380780114690,15.0,16320.0,523.29,344.5,2.0,2.0,16320.0,523.29,344.5
1710525381325635157,16.0,16820.0,594.5,345.0,2.0,2.0,16820.0,594.5,345.0
1710525381869709587,17.0,17320.0,657.09,345.5,2.0,2.0,17320.0,657.09,345.5
1710525382418124013,18.0,17820.0,735.42,346.0,2.0,2.0,17820.0,735.42,346.0
1710525382967490890,19.0,18320.0,797.58,346.5,2.0,2.0,18320.0,797.58,346.5
1710525383519136166,20.0,18820.0,859.67,347.0,2.0,2.0,18820.0,859.67,347.0
1710525384052746084,21.0,19320.0,924.1,347.5,2.0,2.0,19320.0,924.1,347.5
1710525384606209611,22.0,19820.0,1001.04,348.0,2.0,2.0,19820.0,1001.04,348.0
