bag_timestamp_ns,load_cell_field_0,load_cell_field_1,load_cell_field_2,load_cell_field_3,load_cell_field_4,load_cell_field_5,load_cell_timestamp,load_cell_reading,actuator_displacement
1710535963961560180,2.0,4532.0,-9.84,857.0,2.0,2.0,4532.0,-9.84,857.0
1710535964506621133,3.0,5032.0,-10.13,857.5,2.0,2.0,5032.0,-10.13,857.5
1710535965053414141,4.0,5532.0,-9.92,858.0,2.0,2.0,5532.0,-9.92,858.0
1710535965599654632,5.0,6032.0,-11.16,858.5,2.0,2.0,6032.0,-11.16,858.5
1710535966144543593,6.0,6532.0,-10.55,859.0,2.0,2.0,6532.0,-10.55,859.0
1710535966689317092,7.0,7032.0,-10.38,859.5,2.0,2.0,7032.0,-10.38,859.5
1710535967233976071,8.0,7532.0,-2.16,860.0,2.0,2.0,7532.0,-2.16,860.0
1710535967779350611,9.0,8032.0,5.84,860.5,2.0,2.0,8032.0,5.84,860.5
1710535968324085792,10.0,8532.0,13.82,861.0,2.0,2.0,8532.0,13.82,861.0
1710535968872222604,11.0,9032.0,16.36,861.5,2.0,2.0,9032.0,16.36,861.5
1710535969417596897,12.0,9532.0,21.0,862.0,2.0,2.0,9532.0,21.0,862.0
1710535969962173837,13.0,10032.0,6.73,862.5,2.0,2.0,10032.0,6.73,862.5
1710535970507129069,14.0,10532.0,20.35,863.0,2.0,2.0,10532.0,20.35,863.0
1710535971055388708,15.0,11032.0,24.23,863.5,2.0,2.0,11032.0,24.23,863.5
1710535971600295604,16.0,11532.0,35.04,864.0,2.0,2.0,11532.0,35.04,864.0
1710535972145377449,17.0,12032.0,41.18,864.5,2.0,2.0,12032.0,41.18,864.5
1710535972690024688,18.0,12532.0,46.28,865.0,2.0,2.0,12532.0,46.28,865.0
1710535973235131851,19.0,13032.0,42.5,865.5,2.0,2.0,13032.0,42.5,865.5
1710535973783260011,20.0,13532.0,55.2,866.0,2.0,2.0,13532.0,55.2,866.0
1710535974328059172,21.0,14032.0,55.2,866.5,2.0,2.0,14032.0,55.2,866.5
1710535974872920556,22.0,14532.0,42.87,867.0,2.0,2.0,14532.0,42.87,867.0
1710535975418449108,23.0,15032.0,51.17,867.5,2.0,2.0,15032.0,51.17,867.5
1710535975962955190,24.0,15532.0,61.91,868.0,2.0,2.0,15532.0,61.91,868.0
1710535976511077718,25.0,16032.0,63.42,868.5,2.0,2.0,16032.0,63.42,868.5
1710535977056102388,26.0,16532.0,73.0,869.0,2.0,2.0,16532.0,73.0,869.0
1710535977601112825,27.0,17032.0,82.85,869.5,2.0,2.0,17032.0,82.85,869.5
1710535978145991180,28.0,17532.0,82.19,870.0,2.0,2.0,17532.0,82.19,870.0
1710535978694002211,29.0,18032.0,90.6,870.5,2.0,2.0,18032.0,90.6,870.5
1710535979238919901,30.0,18532.0,97.11,871.0,2.0,2.0,18532.0,97.11,871.0
1710535979783954026,31.0,19032.0,103.26,871.5,2.0,2.0,19032.0,103.26,871.5
1710535980328881725,32.0,19532.0,115.55,872.0,2.0,2.0,19532.0,115.55,872.0
1710535980874109238,33.0,20032.0,125.14,872.5,2.0,2.0,20032.0,125.14,872.5
1710535981421813399,34.0,20532.0,136.72,873.0,2.0,2.0,20532.0,136.72,873.0
1710535981967012184,35.0,21032.0,143.03,873.5,2.0,2.0,21032.0,143.03,873.5
1710535982511921793,36.0,21532.0,147.86,874.0,2.0,2.0,21532.0,147.86,874.0
1710535983056296473,37.0,22032.0,150.06,874.5,2.0,2.0,22032.0,150.06,874.5
1710535983605018327,38.0,22532.0,167.13,875.0,2.0,2.0,22532.0,167.13,875.0
1710535984150165355,39.0,23032.0,157.65,875.5,2.0,2.0,23032.0,157.65,875.5
1710535984695135068,40.0,23532.0,140.92,876.0,2.0,2.0,23532.0,140.92,876.0
1710535985239472236,41.0,24032.0,168.03,876.5,2.0,2.0,24032.0,168.03,876.5
1710535985784469897,42.0,24532.0,179.27,877.0,2.0,2.0,24532.0,179.27,877.0
1710535986332897766,43.0,25032.0,206.67,877.5,2.0,2.0,25032.0,206.67,877.5
1710535986877782527,44.0,25532.0,200.58,878.0,2.0,2.0,25532.0,200.58,878.0
1710535987422843428,45.0,26032.0,216.02,878.5,2.0,2.0,26032.0,216.02,878.5
1710535987967723795,46.0,26532.0,220.25,879.0,2.0,2.0,26532.0,220.25,879.0
1710535988516069604,47.0,27032.0,235.15,879.5,2.0,2.0,27032.0,235.15,879.5
1710535989060718036,48.0,27532.0,230.05,880.0,2.0,2.0,27532.0,230.05,880.0
1710535989605699128,49.0,28032.0,230.2,880.5,2.0,2.0,28032.0,230.2,880.5
1710535990150805770,50.0,28532.0,245.52,881.0,2.0,2.0,28532.0,245.52,881.0
1710535990699144396,51.0,29032.0,252.3,881.5,2.0,2.0,29032.0,252.3,881.5
1710535991243915497,52.0,29532.0,258.01,882.0,2.0,2.0,29532.0,258.01,882.0
1710535991789235343,53.0,30032.0,264.12,882.5,2.0,2.0,30032.0,264.12,882.5
1710535992333805129,54.0,30532.0,269.32,883.0,2.0,2.0,30532.0,269.32,883.0
1710535992878813852,55.0,31032.0,280.52,883.5,2.0,2.0,31032.0,280.52,883.5
