bag_timestamp_ns,load_cell_field_0,load_cell_field_1,load_cell_field_2,load_cell_field_3,load_cell_field_4,load_cell_field_5,load_cell_timestamp,load_cell_reading,actuator_displacement
1710532884638312299,2.0,14928.0,-39.55,146.5,2.0,2.0,14928.0,-39.55,146.5
1710532885183237756,3.0,15428.0,-34.61,147.0,2.0,2.0,15428.0,-34.61,147.0
1710532885728237294,4.0,15928.0,-32.68,147.5,2.0,2.0,15928.0,-32.68,147.5
1710532886272668469,5.0,16428.0,-30.81,148.0,2.0,2.0,16428.0,-30.81,148.0
1710532886821337321,6.0,16928.0,-28.65,148.5,2.0,2.0,16928.0,-28.65,148.5
1710532887366708365,7.0,17428.0,-26.56,149.0,2.0,2.0,17428.0,-26.56,149.0
1710532887911445608,8.0,17928.0,-25.38,149.5,2.0,2.0,17928.0,-25.38,149.5
1710532888456047796,9.0,18428.0,-23.58,150.0,2.0,2.0,18428.0,-23.58,150.0
1710532889000923259,10.0,18928.0,-20.45,150.5,2.0,2.0,18928.0,-20.45,150.5
1710532889549212461,11.0,19428.0,-17.42,151.0,2.0,2.0,19428.0,-17.42,151.0
1710532890093847899,12.0,19928.0,-17.09,151.5,2.0,2.0,19928.0,-17.09,151.5
1710532890638983326,13.0,20428.0,-14.62,152.0,2.0,2.0,20428.0,-14.62,152.0
1710532891183998806,14.0,20928.0,-14.05,152.5,2.0,2.0,20928.0,-14.05,152.5
1710532891728882051,15.0,21428.0,-11.66,153.0,2.0,2.0,21428.0,-11.66,153.0
1710532892276748024,16.0,21928.0,-12.45,153.5,2.0,2.0,21928.0,-12.45,153.5
1710532892822192039,17.0,22428.0,-12.01,154.0,2.0,2.0,22428.0,-12.01,154.0
1710532893367083031,18.0,22928.0,-11.34,154.5,2.0,2.0,22928.0,-11.34,154.5
1710532893912188021,19.0,23428.0,-8.85,155.0,2.0,2.0,23428.0,-8.85,155.0
1710532894456623801,20.0,23928.0,-3.49,155.5,2.0,2.0,23928.0,-3.49,155.5
1710532895005008091,21.0,24428.0,-1.88,156.0,2.0,2.0,24428.0,-1.88,156.0
1710532895549879359,22.0,24928.0,-1.84,156.5,2.0,2.0,24928.0,-1.84,156.5
1710532896094681540,23.0,25428.0,1.23,157.0,2.0,2.0,25428.0,1.23,157.0
1710532896639639089,24.0,25928.0,3.0,157.5,2.0,2.0,25928.0,3.0,157.5
1710532897184551395,25.0,26428.0,4.46,158.0,2.0,2.0,26428.0,4.46,158.0
1710532897732690554,26.0,26928.0,5.6,158.5,2.0,2.0,26928.0,5.6,158.5
1710532898277219632,27.0,27428.0,6.83,159.0,2.0,2.0,27428.0,6.83,159.0
1710532898822648421,28.0,27928.0,8.58,159.5,2.0,2.0,27928.0,8.58,159.5
1710532899367303306,29.0,28428.0,10.02,160.0,2.0,2.0,28428.0,10.02,160.0
1710532899912426241,30.0,28928.0,11.23,160.5,2.0,2.0,28928.0,11.23,160.5
1710532900460574149,31.0,29428.0,12.23,161.0,2.0,2.0,29428.0,12.23,161.0
1710532901005577682,32.0,29928.0,14.18,161.5,2.0,2.0,29928.0,14.18,161.5
1710532901550618995,33.0,30428.0,16.88,162.0,2.0,2.0,30428.0,16.88,162.0
1710532902095495397,34.0,30928.0,17.29,162.5,2.0,2.0,30928.0,17.29,162.5
1710532902640317117,35.0,31428.0,19.8,163.0,2.0,2.0,31428.0,19.8,163.0
1710532903188392555,36.0,31928.0,23.33,163.5,2.0,2.0,31928.0,23.33,163.5
1710532903733278149,37.0,32428.0,21.35,164.0,2.0,2.0,32428.0,21.35,164.0
1710532904278127044,38.0,-32608.0,23.24,164.5,2.0,2.0,-32608.0,23.24,164.5
1710532904823509602,39.0,-32108.0,22.32,165.0,2.0,2.0,-32108.0,22.32,165.0
1710532905371464482,40.0,-31608.0,23.54,165.5,2.0,2.0,-31608.0,23.54,165.5
1710532905916430724,41.0,-31108.0,26.36,166.0,2.0,2.0,-31108.0,26.36,166.0
1710532906460595896,42.0,-30608.0,26.16,166.5,2.0,2.0,-30608.0,26.16,166.5
1710532907005387491,43.0,-30108.0,28.47,167.0,2.0,2.0,-30108.0,28.47,167.0
1710532907550994926,44.0,-29608.0,29.0,167.5,2.0,2.0,-29608.0,29.0,167.5
1710532908099142829,45.0,-29108.0,30.59,168.0,2.0,2.0,-29108.0,30.59,168.0
1710532908644424997,46.0,-28608.0,30.36,168.5,2.0,2.0,-28608.0,30.36,168.5
1710532909189192642,47.0,-28108.0,33.8,169.0,2.0,2.0,-28108.0,33.8,169.0
1710532909734118505,48.0,-27608.0,35.62,169.5,2.0,2.0,-27608.0,35.62,169.5
1710532910278144203,49.0,-27108.0,37.0,170.0,2.0,2.0,-27108.0,37.0,170.0
1710532910827128196,50.0,-26608.0,38.63,170.5,2.0,2.0,-26608.0,38.63,170.5
1710532911372113839,51.0,-26108.0,40.28,171.0,2.0,2.0,-26108.0,40.28,171.0
1710532911916828407,52.0,-25608.0,43.53,171.5,2.0,2.0,-25608.0,43.53,171.5
1710532912461894349,53.0,-25108.0,45.53,172.0,2.0,2.0,-25108.0,45.53,172.0
