bag_timestamp_ns,load_cell_field_0,load_cell_field_1,load_cell_field_2,load_cell_field_3,load_cell_field_4,load_cell_field_5,load_cell_timestamp,load_cell_reading,actuator_displacement
1710528738535080476,2.0,15032.0,-11.76,867.5,2.0,2.0,15032.0,-11.76,867.5
1710528739079079528,3.0,15532.0,-11.73,868.0,2.0,2.0,15532.0,-11.73,868.0
1710528739627378928,4.0,16032.0,-3.29,868.5,2.0,2.0,16032.0,-3.29,868.5
1710528740172406324,5.0,16532.0,4.55,869.0,2.0,2.0,16532.0,4.55,869.0
1710528740716672993,6.0,17032.0,9.41,869.5,2.0,2.0,17032.0,9.41,869.5
1710528741262146585,7.0,17532.0,13.94,870.0,2.0,2.0,17532.0,13.94,870.0
1710528741806988090,8.0,18032.0,32.18,870.5,2.0,2.0,18032.0,32.18,870.5
1710528742354979110,9.0,18532.0,75.62,871.0,2.0,2.0,18532.0,75.62,871.0
1710528742899641966,10.0,19032.0,116.97,871.5,2.0,2.0,19032.0,116.97,871.5
1710528743445017923,11.0,19532.0,154.07,872.0,2.0,2.0,19532.0,154.07,872.0
1710528743990103697,12.0,20032.0,194.48,872.5,2.0,2.0,20032.0,194.48,872.5
1710528744538314552,13.0,20532.0,225.45,873.0,2.0,2.0,20532.0,225.45,873.0
1710528745083219867,14.0,21032.0,253.99,873.5,2.0,2.0,21032.0,253.99,873.5
1710528745628194744,15.0,21532.0,286.69,874.0,2.0,2.0,21532.0,286.69,874.0
1710528746173218275,16.0,22032.0,323.2,874.5,2.0,2.0,22032.0,323.2,874.5
1710528746717553411,17.0,22532.0,358.46,875.0,2.0,2.0,22532.0,358.46,875.0
1710528747266103360,18.0,23032.0,393.36,875.5,2.0,2.0,23032.0,393.36,875.5
1710528747811156020,19.0,23532.0,416.76,876.0,2.0,2.0,23532.0,416.76,876.0
1710528748355959956,20.0,24032.0,455.68,876.5,2.0,2.0,24032.0,455.68,876.5
1710528748903009939,21.0,24532.0,489.88,877.0,2.0,2.0,24532.0,489.88,877.0
1710528749449545504,22.0,25032.0,527.85,877.5,2.0,2.0,25032.0,527.85,877.5
1710528749994104470,23.0,25532.0,560.13,878.0,2.0,2.0,25532.0,560.13,878.0
1710528750538913223,24.0,26032.0,595.41,878.5,2.0,2.0,26032.0,595.41,878.5
1710528751084227479,25.0,26532.0,629.1,879.0,2.0,2.0,26532.0,629.1,879.0
1710528751628739357,26.0,27032.0,662.55,879.5,2.0,2.0,27032.0,662.55,879.5
1710528752176959167,27.0,27532.0,699.02,880.0,2.0,2.0,27532.0,699.02,880.0
1710528752722260953,28.0,28032.0,733.99,880.5,2.0,2.0,28032.0,733.99,880.5
1710528753266995466,29.0,28532.0,768.56,881.0,2.0,2.0,28532.0,768.56,881.0
1710528753811919162,30.0,29032.0,799.21,881.5,2.0,2.0,29032.0,799.21,881.5
1710528754360195311,31.0,29532.0,835.28,882.0,2.0,2.0,29532.0,835.28,882.0
1710528754904839014,32.0,30032.0,872.11,882.5,2.0,2.0,30032.0,872.11,882.5
1710528755449781147,33.0,30532.0,905.27,883.0,2.0,2.0,30532.0,905.27,883.0
1710528755995056593,34.0,31032.0,942.3,883.5,2.0,2.0,31032.0,942.3,883.5
1710528756539740516,35.0,31532.0,975.91,884.0,2.0,2.0,31532.0,975.91,884.0
1710528757088078867,36.0,32032.0,1000.68,884.5,2.0,2.0,32032.0,1000.68,884.5
