bag_timestamp_ns,load_cell_field_0,load_cell_field_1,load_cell_field_2,load_cell_field_3,load_cell_field_4,load_cell_field_5,load_cell_timestamp,load_cell_reading,actuator_displacement
1710524982244602534,3.0,7892.0,-109.88,205.0,2.0,2.0,7892.0,-109.88,205.0
1710524982792058701,4.0,8392.0,-111.45,205.5,2.0,2.0,8392.0,-111.45,205.5
1710524983334310108,5.0,8892.0,-110.1,206.0,2.0,2.0,8892.0,-110.1,206.0
1710524983879531780,6.0,9392.0,-110.85,206.5,2.0,2.0,9392.0,-110.85,206.5
1710524984427615979,7.0,9892.0,-110.03,207.0,2.0,2.0,9892.0,-110.03,207.0
1710524984972713222,8.0,10392.0,-110.0,207.5,2.0,2.0,10392.0,-110.0,207.5
1710524985518400513,9.0,10892.0,-109.93,208.0,2.0,2.0,10892.0,-109.93,208.0
1710524986064097044,10.0,11392.0,-97.54,208.5,2.0,2.0,11392.0,-97.54,208.5
1710524986619323590,11.0,11892.0,-88.31,209.0,2.0,2.0,11892.0,-88.31,209.0
1710524987155599745,12.0,12392.0,-78.43,209.5,2.0,2.0,12392.0,-78.43,209.5
1710524987700567265,13.0,12892.0,-71.2,210.0,2.0,2.0,12892.0,-71.2,210.0
1710524988245428379,14.0,13392.0,-63.23,210.5,2.0,2.0,13392.0,-63.23,210.5
1710524988790598781,15.0,13892.0,-51.93,211.0,2.0,2.0,13892.0,-51.93,211.0
1710524989341828719,16.0,14392.0,-41.77,211.5,2.0,2.0,14392.0,-41.77,211.5
1710524989884666051,17.0,14892.0,-31.48,212.0,2.0,2.0,14892.0,-31.48,212.0
1710524990428624261,18.0,15392.0,-23.0,212.5,2.0,2.0,15392.0,-23.0,212.5
1710524990973608237,19.0,15892.0,-12.09,213.0,2.0,2.0,15892.0,-12.09,213.0
1710524991517916205,20.0,16392.0,-1.06,213.5,2.0,2.0,16392.0,-1.06,213.5
1710524992065073706,21.0,16892.0,9.41,214.0,2.0,2.0,16892.0,9.41,214.0
1710524992611278029,22.0,17392.0,20.42,214.5,2.0,2.0,17392.0,20.42,214.5
1710524993156458056,23.0,17892.0,30.21,215.0,2.0,2.0,17892.0,30.21,215.0
1710524993703475973,24.0,18392.0,41.71,215.5,2.0,2.0,18392.0,41.71,215.5
1710524994246104697,25.0,18892.0,51.55,216.0,2.0,2.0,18892.0,51.55,216.0
1710524994795239885,26.0,19392.0,61.33,216.5,2.0,2.0,19392.0,61.33,216.5
1710524995339242038,27.0,19892.0,71.02,217.0,2.0,2.0,19892.0,71.02,217.0
1710524995884306102,28.0,20392.0,83.36,217.5,2.0,2.0,20392.0,83.36,217.5
1710524996428653918,29.0,20892.0,95.12,218.0,2.0,2.0,20892.0,95.12,218.0
