sim_idx,bush,branch,trial,flex_modulus,probe_height,field_stiffness,sim_stiffness,force_error_10mm,force_error_15mm,force_error_20mm,force_error_25mm,force_error_30mm,num_links,discretization_RMSE
0,1,1,1,4900000000.0,0.641,0.016965298978646397,0.004003554918655482,0.1274751897585674,,,,,11,3.3825185374526217
1,1,1,2,4900000000.0,0.518,0.030984380509458915,0.008390374217366825,0.26846522465466444,0.39257358046152635,0.5019203163359127,,,11,3.3825185374526217
2,1,1,3,4900000000.0,0.39,0.0886143821452541,0.01931070626783392,0.6874751659324846,0.9152528043842855,,,,11,3.3825185374526217
3,1,2,1,4900000000.0,0.505,0.12178963487445983,0.28931203039655945,1.7393361582056321,2.5372692911113583,3.3421912226630384,4.083009397463561,4.868307725180724,11,1.8025897340836377
4,1,2,2,4900000000.0,0.415,0.2007085313639386,0.4817666002291476,2.3987713783492213,3.764242005508733,5.157010910885326,6.633451874810126,,11,1.8025897340836377
5,1,2,3,4900000000.0,0.306,0.4291595072651976,-0.14513061935644742,1.671377024148482,2.339759624263446,10.069341666700119,,,11,1.8025897340836377
6,1,3,1,4900000000.0,0.544,0.453159169989701,-0.034478154631329534,5.085065105014618,7.303705103934285,14.65168673774427,,,10,1.964604029770052
7,1,3,2,4900000000.0,0.446,0.796860417474872,1.5885485473766896,6.7682293759520995,,,,,10,1.964604029770052
8,1,3,3,4900000000.0,0.343,1.2335559097475486,2.644341826768696,,,,,,10,1.964604029770052
9,3,1,1,4900000000.0,0.658,0.019431904573452154,0.02448068860907521,0.008124692560662866,0.02073155918836911,,,,7,1.3938065572357192
10,3,1,2,4900000000.0,0.552,0.04448186131743198,0.05259164480226859,0.016464094098085746,0.06794304564207143,0.14744861224947448,0.18076319633018234,0.24180435338125594,7,1.3938065572357192
11,3,2,1,4900000000.0,0.522,0.16567277625938015,0.30557627090768474,1.6917247260085566,2.3026794738679586,,,,7,1.9602785088340775
12,3,2,2,4900000000.0,0.438,0.2586403060915288,0.8321271072059144,5.923080202509045,8.5199492215725,11.363953865420893,,,7,1.9602785088340775
13,3,2,3,4900000000.0,0.341,0.45862648393657496,1.2562717098159268,7.65374095455072,,,,,7,1.9602785088340775
14,3,3,1,4900000000.0,0.594,0.25549092150073616,0.2965185438290259,0.07382129331348697,0.10697399304220223,0.26330235505557464,0.4308362606684275,0.7864129496597405,7,1.6475994401176244
15,3,3,2,4900000000.0,0.515,0.35821881120707066,0.40715655388438227,0.20270888760660677,0.38165232056785303,0.5332387992814507,0.8767542352682458,,7,1.6475994401176244
16,5,2,1,4900000000.0,0.62,0.14166961096632857,0.026182323375221674,1.5129453516044353,1.9797661201496999,2.6465269105593334,,,8,1.7632585362408066
17,5,3,1,4900000000.0,0.522,0.5435924923369077,0.4167500353162554,1.5061230573019473,2.2456149102681655,,,,6,1.6544419158385963
18,5,3,2,4900000000.0,0.456,0.6628235649112901,0.6328375513425847,0.28393047740924615,,,,,6,1.6544419158385963
19,5,3,3,4900000000.0,0.392,0.9767370311368422,0.029302893243761324,,,,,,6,1.6544419158385963
20,9,1,2,4900000000.0,0.489,0.01757888086524064,0.006983278890928054,0.0861482608681499,0.14850774667924097,,,,6,1.9090906286936966
21,9,3,1,4900000000.0,0.497,0.24089032761710036,0.23106412004512245,0.09650388838849677,0.06571789015595941,0.040396885375939995,,,9,1.6650286809649772
22,9,3,3,4900000000.0,0.361,0.7724665013261538,0.7727995844556247,0.44947151087378323,,,,,9,1.6650286809649772
23,14,2,1,4900000000.0,0.626,0.02633515018122066,-0.014032602253663744,1.1372986600749464,0.07478735360532515,0.23775413850705232,0.3376236237551472,0.5275011521332137,9,1.9203033744943565
24,14,2,2,4900000000.0,0.547,0.08624584864518012,0.47863897750145695,3.6369130162047276,5.831644005836412,7.7159309196046495,9.652327049005597,,9,1.9203033744943565
25,23,1,1,4900000000.0,0.503,0.053096514238984184,0.08025159993797931,0.6676980452475825,0.8791517621024685,1.0122974925483508,,,10,1.5810438030952012
26,23,1,2,4900000000.0,0.414,0.12118808846540786,0.22773383485994791,,,,,,10,1.5810438030952012
27,23,1,3,4900000000.0,0.333,0.21674435832396705,-0.2141611324267683,6.687802985512546,9.732434694313195,7.218933956378276,5.6255797895399136,6.942702160412337,10,1.5810438030952012
28,23,2,1,4900000000.0,0.582,0.08247858535517681,0.14173277867037393,0.7272358203601818,1.211775751465245,1.384821174124848,1.9437321204048505,,6,1.758658509369433
29,23,2,2,4900000000.0,0.463,0.12854208670636857,0.24534841804769889,1.2834093743044663,1.8839899257007626,2.488950865472386,3.0995298499432034,,6,1.758658509369433
30,23,2,3,4900000000.0,0.335,0.20544879106159722,0.36356351749618915,1.6705178157478426,2.5380395549389685,3.216816047112495,4.001021892893779,,6,1.758658509369433
31,23,3,1,4900000000.0,0.625,0.11136446912032351,0.05417752192720466,,,,,,10,1.635841598633327
32,23,3,3,4900000000.0,0.427,0.5011397358256098,0.32589299416429873,,,,,,10,1.635841598633327
