sim_idx,bush,branch,trial,flex_modulus,probe_height,field_stiffness,sim_stiffness,force_error_10mm,force_error_15mm,force_error_20mm,force_error_25mm,num_links,discretization_RMSE
0,1,1,1,4900000000.0,0.641,0.016965298978646397,0.006380147860617603,,,,,9,4.217777932542019
1,1,1,2,4900000000.0,0.518,0.030984380509458915,0.010850240261969556,,,,,9,4.217777932542019
2,1,1,3,4900000000.0,0.39,0.0886143821452541,0.017346885347886903,,,,,9,4.217777932542019
3,1,2,1,4900000000.0,0.505,0.12178963487445983,2.507944438763325e-05,,,,,6,4.959325872324002
4,1,2,2,4900000000.0,0.415,0.2007085313639386,-1.0895461011494553e-05,,,,,6,4.959325872324002
5,1,2,3,4900000000.0,0.306,0.4291595072651976,-6.192057468755505e-06,,,,,6,4.959325872324002
6,1,3,1,4900000000.0,0.544,0.453159169989701,0.5302940268737035,,,,,6,4.9752383373170534
7,1,3,2,4900000000.0,0.446,0.796860417474872,-7.694077268181693e-05,,,,,6,4.9752383373170534
8,1,3,3,4900000000.0,0.343,1.2335559097475486,0.9213384692524927,,,,,6,4.9752383373170534
