sim_idx,bush,branch,trial,flex_modulus,probe_height,field_stiffness,sim_stiffness,force_error_10mm,force_error_15mm,force_error_20mm,force_error_25mm,num_links,discretization_RMSE
0,23,1,1,4900000000.0,0.503,0.053096514238984184,0.29719416641249546,,,,,5,4.786300619315103
1,23,1,2,4900000000.0,0.414,0.12118808846540786,0.41597417722460367,,,,,6,2.8042204521398095
2,23,1,3,4900000000.0,0.333,0.21674435832396705,0.542356817926084,,,,,6,3.104067427401438
3,23,2,1,4900000000.0,0.582,0.08247858535517681,0.07543508352452383,,,,,4,4.570078534934385
4,23,2,2,4900000000.0,0.463,0.12854208670636857,0.11671259083886515,,,,,4,4.649613443972609
5,23,2,3,4900000000.0,0.335,0.20544879106159722,0.17213286063123898,,,,,4,4.681162400068086
6,23,3,1,4900000000.0,0.625,0.11136446912032351,0.17075164083928154,,,,,6,4.005386001243059
7,23,3,2,4900000000.0,0.536,0.19468129479789678,0.27638740275940094,,,,,6,4.572253046972924
8,23,3,3,4900000000.0,0.427,0.5011397358256098,0.3463440805649649,,,,,6,4.444542560072328
