Bush,Branch,Location,Diameter,Height
3,1,1,5.18,650
3,1,2,5.64,544
3,1,3,6.14,439
3,2,1,3.92,702
3,2,2,4.94,646
3,2,3,6.54,560
3,3,1,4.1,605
3,3,2,4.86,520
3,3,3,6,420
