load_cell_reading,actuator_displacement,Time (s),Load (N)
0.0,0.0,0.0,0.0
16.59,0.5,0.545310853,0.16269234
35.93,1.0,1.0908134230000002,0.35235292
38.15,1.5,1.6350957700000002,0.3741237
59.38,2.0,2.179521679,0.58231884
72.5,2.5,2.728230609,0.71098214
98.53,3.0,3.273213879,0.9662492
110.64,3.5,3.8181224520000003,1.0850078
122.5,4.0,4.362960094,1.2013146
140.92,4.5,4.911225291,1.3819531
128.26,5.0,5.456356306,1.2578008
156.94,5.5,6.00107715,1.5390557
166.22,6.0,6.546176551,1.6300614
193.23,6.5,7.094327477,1.894939
195.70999,7.0,7.6391070590000005,1.9192593
222.23,7.5,8.183898592,2.1793318
239.73,8.0,8.729064964,2.350948
259.16,8.5,9.273859797,2.5414915
243.53,9.0,9.822247462,2.3882134
264.71,9.5,10.36699997,2.5959182
279.78,10.0,10.912021664000001,2.7437046
303.8,10.5,11.457064809,2.97926
323.8,11.0,12.005224203000001,3.175393
330.66998,11.5,12.550095567000001,3.2427647
356.99,12.0,13.095067807000001,3.5008757
375.54,12.5,13.640030142,3.6827893
387.94,13.0,14.184513004000001,3.8043916
403.98,13.5,14.733162124000001,3.9616904
423.53,14.0,15.277949967000001,4.1534104
441.84,14.5,15.822800016,4.33297
457.98,15.0,16.367483223,4.4912496
477.81,15.5,16.912734418,4.685715
495.8,16.0,17.461022275,4.862137
513.25,16.5,18.006120042000003,5.033263
530.37,17.0,18.551090751,5.201153
453.45,17.5,19.095719813000002,4.4468255
472.91,18.0,19.641024910000002,4.637663
497.13998,18.5,20.188455660000002,4.8752775
514.64,19.0,20.733886048000002,5.0468946
536.2,19.5,21.278677552,5.2583256
553.73,20.0,21.823519723,5.430236
569.46,20.5,22.372025043,5.584495
574.02,21.0,22.916867137,5.6292133
582.83,21.5,23.461630692,5.71561
592.14,22.0,24.006808582,5.8069096
602.29,22.5,24.551757297,5.906447
592.24,23.0,25.099691647,5.80789
604.6,23.5,25.644713794,5.9291
612.63,24.0,26.189154541,6.007848
623.37,24.5,26.734654071,6.113171
633.5,25.0,27.282839393000003,6.2125125
642.32,25.5,27.827835924000002,6.2990074
650.56,26.0,28.372498881000002,6.379814
659.23,26.5,28.917797342,6.4648376
663.33,27.0,29.465938633,6.505045
669.54,27.5,30.010837539,6.565944
633.96,28.0,30.559967937000003,6.217024
643.64,28.5,31.100607642000003,6.311952
653.25,29.0,31.645595999,6.4061937
663.02,29.5,32.193605822,6.502005
672.5,30.0,32.739002182,6.594972
682.4,30.5,33.283805279,6.692058
692.27997,31.0,33.828551785,6.788947
700.68,31.5,34.377140107,6.871323
708.73,32.0,34.921760077,6.950267
717.75,32.5,35.466722336000004,7.038723
729.1,33.0,36.012040492000004,7.150028
733.43,33.5,36.562114666,7.192491
744.3,34.0,37.104965268,7.2990894
751.21,34.5,37.649772057,7.3668537
761.27997,35.0,38.195210685,7.465606
768.57,35.5,38.74302591,7.537097
778.76,36.0,39.287997515,7.637027
789.33,36.5,39.833054979,7.740683
793.89,37.0,40.377501276000004,7.7854013
801.38,37.5,40.926076144,7.858853
811.82,38.0,41.470933842,7.961234
820.48,38.5,42.015686960000004,8.04616
831.16,39.0,42.566542214,8.150895
838.95,39.5,43.109247630000006,8.227289
846.36,40.0,43.654096988000006,8.299956
855.41,40.5,44.199198668,8.388706
862.01,41.0,44.743980079,8.45343
