load_cell_reading,actuator_displacement,Time (s),Load (N)
0.0,0.0,4.910673267,0.0
19.949997,0.5,5.4556475440000005,0.19564265
26.660004,1.0,6.000564362,0.26144528
33.97,1.5,6.544986593,0.3331319
40.6,2.0,7.090130059000001,0.39814997
47.620003,2.5,7.638767097000001,0.46699268
54.660004,3.0,8.183432962000001,0.53603154
62.75,3.5,8.727847598,0.61536723
68.9,4.0,9.273199847,0.6756782
72.38,4.5,9.821623715000001,0.7098053
79.119995,5.0,10.366375709000001,0.7759021
82.83,5.5,10.911355330000001,0.81228477
90.03,6.0,11.456364717000001,0.88289267
97.47,6.5,12.001293508000002,0.9558541
105.18001,7.0,12.549545274000002,1.0314634
106.96001,7.5,13.094426785000001,1.0489192
114.25,8.0,13.639222813000002,1.1204097
120.880005,8.5,14.18367575,1.1854279
124.8,9.0,14.733647529,1.2238698
133.12,9.5,15.277444690000001,1.3054612
137.51,10.0,15.822513369000001,1.3485124
146.22,10.5,16.366732696,1.4339283
151.04,11.0,16.91262319,1.4811964
159.63,11.5,17.460568046000002,1.5654356
165.98,12.0,18.005456844,1.6277077
171.04,12.5,18.550347851,1.6773293
178.27,13.0,19.095106323,1.7482316
