load_cell_reading,actuator_displacement,Time (s),Load (N)
0.0,0.0,5.455770824,0.0
2.709999,0.5,6.0003957770000005,0.026576012
20.940002,1.0,6.545792573000001,0.20535126
37.020004,1.5,7.090590649,0.3630422
42.800003,2.0,7.635577866,0.4197246
52.25,2.5,8.186869833000001,0.5123974
66.04,3.0,8.728635627000001,0.64763117
71.07,3.5,9.27359564,0.69695854
79.5,4.0,9.81838531,0.77962863
89.9,4.5,10.366748273,0.8816178
98.840004,5.0,10.911962852,0.9692893
108.04,5.5,11.456563997,1.0595105
116.37,6.0,12.000960987000001,1.1411998
126.26,6.5,12.54658446,1.2381876
139.69,7.0,13.094787024,1.3698908
145.95999,7.5,13.640062533,1.4313786
146.64001,8.0,14.188980117000002,1.4380472
154.57,8.5,14.729413058,1.5158138
166.76001,9.0,15.277240159000002,1.6353569
175.62,9.5,15.822153717,1.7222438
186.87,10.0,16.367041815,1.8325686
195.98999,10.5,16.912566401,1.9220052
206.47,11.0,17.460475092,2.0247788
197.6,11.5,18.005437714000003,1.937794
206.79001,12.0,18.550457516,2.0279171
209.95001,12.5,19.095627768,2.058906
221.48999,13.0,19.640547963,2.1720748
230.95001,13.5,20.188479840000003,2.2648458
239.20001,14.0,20.733639355,2.3457506
246.56,14.5,21.278889934000002,2.4179275
251.46002,15.0,21.823151488,2.4659803
260.73,15.5,22.37167356,2.5568879
269.92,16.0,22.916727297,2.647011
278.35,16.5,23.461558902,2.729681
283.26,17.0,24.006600962,2.7778316
294.02002,17.5,24.554790036,2.8833513
303.24002,18.0,25.099826966000002,2.9737685
310.45,18.5,25.644641568,3.0444744
318.94,19.0,26.189303016,3.1277328
331.7,19.5,26.734477377,3.2528658
337.93002,20.0,27.282566944000003,3.3139613
347.68002,20.5,27.827288696,3.4095762
356.08002,21.0,28.372550585000003,3.491952
368.27002,21.5,28.917874454000003,3.611495
376.1,22.0,29.465870067,3.6882808
381.73,22.5,30.010652476,3.7434926
389.78,23.0,30.555698122000003,3.8224359
403.66,23.5,31.100517895000003,3.9585524
410.53,24.0,31.645791974,4.0259237
418.30002,24.5,32.193841678000005,4.102122
428.33002,25.0,32.738682313000005,4.2004824
440.25,25.5,33.283569679,4.3173776
448.21002,26.0,33.828474838000005,4.3954387
456.62,26.5,34.376810542,4.4779124
463.81,27.0,34.921662563000005,4.548422
475.11002,27.5,35.4664993,4.6592374
485.46,28.0,36.011698635,4.760736
492.35,28.5,36.556244215,4.828304
498.00998,29.0,37.104532646,4.8838096
511.00998,29.5,37.649848534,5.011296
517.22,30.0,38.195144078000006,5.0721955
523.44,30.5,38.739439978,5.133193
533.44,31.0,39.287636012,5.2312593
544.97,31.5,39.832521021000005,5.34433
555.69995,32.0,40.377645296000004,5.449555
562.26996,32.5,40.922373490000005,5.5139847
569.11,33.0,41.467177513,5.5810623
573.38,33.5,42.015618783,5.622937
586.00995,34.0,42.560542605,5.7467947
595.79,34.5,43.1055584,5.842704
604.19,35.0,43.650299686000004,5.92508
615.32996,35.5,44.198203292,6.0343256
623.57996,36.0,44.743493213,6.1152306
