load_cell_reading,actuator_displacement,Time (s),Load (N)
0.0,0.0,0.0,0.0
0.32999802,0.5,0.54565624,0.0032361746
16.64,1.0,1.093643846,0.16318268
42.93,1.5,1.63851629,0.42099947
72.82,2.0,2.18302019,0.71412027
87.75,2.5,2.7283471440000002,0.8605335
100.74999,3.0,3.273371834,0.98801994
113.670006,3.5,3.8216382130000004,1.1147219
120.35999,4.0,4.370228018000001,1.1803282
131.76999,4.5,4.911388821,1.2922223
144.32999,5.0,5.456371735,1.4153937
156.72,5.5,6.0046099260000005,1.5368981
169.01001,6.0,6.549386134000001,1.6574218
179.18,6.5,7.0944383900000005,1.7571554
189.54999,7.0,7.639246775,1.8588505
198.26999,7.5,8.183757573000001,1.9443643
207.18,8.0,8.732536811000001,2.0317416
214.73001,8.5,9.277453548,2.105782
227.56998,9.0,9.821587361,2.2316992
247.26999,9.5,10.369536355000001,2.4248903
268.94998,10.0,10.915433634000001,2.6374984
285.46,10.5,11.460521042,2.7994063
