load_cell_reading,actuator_displacement,Time (s),Load (N)
0.0,0.0,0.0,0.0
6.3199997,0.5,0.544729934,0.061978042
19.35,1.0,1.089603291,0.18975869
35.4,1.5,1.635168385,0.34715542
52.4,2.0,2.179889405,0.51386845
62.58,2.5,2.728008039,0.61370015
73.19,3.0,3.273193484,0.7177487
75.18,3.5,3.818050845,0.7372639
92.2,4.0,4.3638686920000005,0.90417314
116.14,4.5,4.907653444,1.1389444
136.49,5.0,5.452918534,1.3385097
128.29,5.5,6.000926383,1.258095
158.29,6.0,6.545472665,1.5522946
166.14,6.5,7.090982319,1.6292769
182.37999,7.0,7.636186114000001,1.7885368
193.79,7.5,8.184066104000001,1.9004307
225.47,8.0,8.728442433,2.2111053
244.70999,8.5,9.273765954,2.3997853
265.41,9.0,9.818825037,2.602783
279.91,9.5,10.363070537,2.7449794
287.56,10.0,10.911782838,2.8200002
296.45,10.5,11.456751937,2.9071813
314.54,11.0,12.001698293,3.0845835
329.88,11.5,12.546236668,3.2350175
348.07,12.0,13.091502528000001,3.4134007
359.31,12.5,13.639866109000002,3.5236273
375.47,13.0,14.184655145,3.6821027
385.85,13.5,14.728909908,3.7838957
405.69,14.0,15.274428559,3.9784596
424.87003,14.5,15.822732683000002,4.1665516
443.29,15.0,16.367730377,4.34719
454.71002,15.5,16.912727737,4.459182
472.03,16.0,17.457531054,4.629033
491.13,16.5,18.002267518,4.8163395
502.72,17.0,18.550296418000002,4.9299994
519.27997,17.5,19.095717675,5.0923967
538.7,18.0,19.640450014000002,5.2828426
547.35,18.5,20.185309079,5.36767
568.44,19.0,20.73327858,5.5744915
585.83,19.5,21.278863078,5.7450294
601.37,20.0,21.823648534,5.8974247
615.79004,20.5,22.368480481000002,6.0388374
624.29004,21.0,22.921318358,6.1221933
642.28,21.5,23.461615456,6.2986155
661.58,22.0,24.006515545000003,6.4878836
682.19,22.5,24.551221594,6.6899986
702.04004,23.0,25.096323274000003,6.8846607
717.89,23.5,25.644706507000002,7.0400963
733.02,24.0,26.189934651,7.188471
751.58,24.5,26.734436109,7.3704815
770.86,25.0,27.279368067,7.559554
784.05,25.5,27.827650241,7.688904
803.23004,26.0,28.372831831000003,7.876996
814.66003,26.5,28.922241968,7.989085
830.25,27.0,29.462412796000002,8.141971
841.85004,27.5,30.007262634000003,8.255729
854.38,28.0,30.555602664000002,8.378606
763.16003,28.5,31.100588299,7.484043
