load_cell_reading,actuator_displacement,Time (s),Load (N)
0.0,0.0,3.2730466070000004,0.0
14.969999,0.5,3.8209720700000003,0.14680555
17.15,1.0,4.366075112,0.16818406
26.019999,1.5,4.910992098,0.25516903
32.01,2.0,5.461951598000001,0.31391084
46.6,2.5,6.000954153,0.45698988
57.28,3.0,6.54902513,0.5617249
68.89,3.5,7.093705432,0.67558014
69.68,4.0,7.638746375,0.6833273
85.05,4.5,8.183475441,0.83405554
107.59,5.0,8.728340347000001,1.0550975
119.850006,5.5,9.276509886000001,1.1753271
135.77,6.0,9.821544240000001,1.3314488
161.3,6.5,10.366506081,1.5818126
176.90999,7.0,10.911039859,1.7348944
187.81999,7.5,11.459379125,1.841885
210.04999,8.0,12.004565937,2.0598867
214.67,8.5,12.549768507000001,2.1051936
241.34999,9.0,13.094364168,2.3668349
252.09,9.5,13.639366667,2.4721584
253.06,10.0,14.187701163000002,2.4816709
247.69,10.5,14.732559307,2.429009
279.2,11.0,15.277101419000001,2.7380166
299.86,11.5,15.822354642,2.9406219
313.09,12.0,16.367404799000003,3.070364
339.76,12.5,16.915642679,3.3319073
374.47998,13.0,17.460070501,3.6723943
401.44,13.5,18.005279433000002,3.9367814
411.38,14.0,18.550391672,4.03426
442.33,14.5,19.098837609,4.337775
473.38,15.0,19.64350955,4.642272
505.32,15.5,20.188614295,4.9554963
538.78,16.0,20.733283899,5.283627
566.26,16.5,21.278335305000002,5.553114
597.2,17.0,21.826672044000002,5.8565316
