load_cell_reading,actuator_displacement,Time (s),Load (N)
0.0,0.0,2.7246549580000003,0.0
11.54,0.5,3.272797945,0.11316874
24.49,1.0,3.817515585,0.24016486
38.09,1.5,4.362229534,0.37353528
51.489998,2.0,4.9068631620000005,0.5049444
63.68,2.5,5.455803654,0.6244875
62.370003,3.0,6.000531007,0.61164075
76.48,3.5,6.55131613,0.7500126
90.08,4.0,7.090528802000001,0.88338304
98.95,4.5,7.635454667,0.97036797
109.22,5.0,8.183665413,1.0710824
117.18,5.5,8.72805335,1.1491432
126.49,6.0,9.273650347,1.2404432
136.40001,6.5,9.818198431,1.3376272
142.59,7.0,10.366267924,1.3983302
145.12,7.5,10.911459346000001,1.423141
147.08,8.0,11.456676634,1.4423621
149.34,8.5,12.001470281000001,1.464525
152.61,9.0,12.550547652,1.4965928
156.25,9.5,13.094456820000001,1.532289
157.05,10.0,13.639510671,1.5401344
158.74,10.5,14.184551369000001,1.5567076
161.54001,11.0,14.729530069,1.5841663
164.35,11.5,15.277598483,1.611723
166.17001,12.0,15.822406603000001,1.629571
167.53,12.5,16.367267481000003,1.6429079
171.66,13.0,16.912191484,1.6834095
175.97,13.5,17.457447871,1.7256761
179.79001,14.0,18.005341433,1.7631376
182.91,14.5,18.550266553,1.7937343
187.5,15.0,19.095292592,1.8387468
191.52,15.5,19.640149411000003,1.8781695
196.72,16.0,20.188170455,1.9291642
199.74,16.5,20.733451292,1.9587803
200.85,17.0,21.278180729000002,1.9696655
206.03,17.5,21.823356635,2.020464
209.74,18.0,22.367962312000003,2.0568466
214.43001,18.5,22.916377915,2.10284
220.6,19.0,23.461493694,2.163347
224.92001,19.5,24.005963142000002,2.2057118
192.77,20.0,24.550968174,1.8904278
193.75,20.5,25.099451776000002,1.9000382
197.93001,21.0,25.644405651000003,1.9410303
197.5,21.5,26.189212832000003,1.9368134
200.37001,22.0,26.734139725000002,1.9649584
202.94,22.5,27.278967891,1.9901614
208.11,23.0,27.827268171,2.0408618
209.66,23.5,28.372315844000003,2.0560622
210.90001,24.0,28.917070475000003,2.0682225
215.04001,24.5,29.462120335,2.108822
216.06001,25.0,30.010390327000003,2.1188247
218.0,25.5,30.554910823,2.1378496
223.29001,26.0,31.100352822,2.1897268
224.98001,26.5,31.645170959,2.2063
226.02,27.0,32.193513976000006,2.216499
227.05,27.5,32.738185515000005,2.2266
228.47,28.0,33.283244918,2.2405252
231.03,28.5,33.828055173,2.2656302
232.17001,29.0,34.373428974,2.27681
234.98001,29.5,34.921256480000004,2.3043666
236.75,30.0,35.466481259000005,2.3217244
239.51001,30.5,36.010776883000005,2.348791
241.69,31.0,36.555912418000005,2.3701692
244.55,31.5,37.104301263,2.3982162
248.02,32.0,37.649256286,2.4322453
250.51001,32.5,38.193789565,2.4566638
252.44,33.0,38.739188884,2.4755907
254.92001,33.5,39.283892056,2.4999113
257.16,34.0,39.832342045000004,2.521878
261.85,34.5,40.37686446,2.5678713
267.97,35.0,40.922134107000005,2.627888
270.7,35.5,41.466899870000006,2.6546602
277.13998,36.0,42.015225583,2.717815
276.16,36.5,42.560430516000004,2.7082045
276.97,37.0,43.105023290000005,2.716148
278.81,37.5,43.649990808000005,2.734192
279.39,38.0,44.198252032000006,2.73988
283.96,38.5,44.743347216000004,2.784696
