load_cell_reading,actuator_displacement,Time (s),Load (N)
0.0,0.0,0.0,0.0
-0.86999893,0.5,0.544824744,-0.008531779
28.55,1.0,1.089575897,0.27997985
61.7,1.5,1.634905475,0.6050703
95.869995,2.0,2.179746993,0.9401635
168.76999,2.5,2.727861404,1.6550682
235.11,3.0,3.272834912,2.3056414
251.65,3.5,3.817773528,2.4678435
298.29,4.0,4.362550913000001,2.9252257
365.71,4.5,4.907638512,3.5863898
435.69,5.0,5.455515405000001,4.2726593
503.3,5.5,6.000924191,4.9356866
563.59,6.0,6.545763269,5.5269294
655.92004,6.5,7.090404189,6.432378
723.0,7.0,7.64148442,7.090207
813.85004,7.5,8.183721308,7.981142
867.96,8.0,8.728706756000001,8.51178
933.94,8.5,9.273133362000001,9.158823
996.34,9.0,9.818253411,9.770758
1069.9099,9.5,10.366605014000001,10.492232
