load_cell_reading,actuator_displacement,Time (s),Load (N)
0.0,0.0,0.0,0.0
17.68,0.5,0.548691842,0.1733816
48.07,1.0,1.0931637490000001,0.47140568
90.48,1.5,1.638214384,0.88730574
117.48,2.0,2.1866333,1.1520853
159.23,2.5,2.7279998020000003,1.561513
199.0,3.0,3.272828332,1.9515233
249.12001,3.5,3.821432193,2.4430327
307.03,4.0,4.366100748,3.0109358
365.77,4.5,4.910905729,3.5869784
430.44,5.0,5.455687331,4.2211742
512.89,5.5,6.004210921,5.0297327
578.52997,6.0,6.549154442000001,5.673441
649.74,6.5,7.094674909,6.371773
712.33,7.0,7.638749339,6.9855714
790.66,7.5,8.187163765000001,7.7537255
852.82,8.0,8.736530642,8.363307
914.91,8.5,9.288175918,8.972202
979.33997,9.0,9.821785836,9.604044
1056.28,9.5,10.375249363,10.358568
