load_cell_reading,actuator_displacement,Time (s),Load (N)
0.0,0.0,4.365504981,0.0
6.88,0.5,4.910762973000001,0.06746975
15.969999,1.0,5.455487285,0.15661219
22.82,1.5,6.000150723,0.22378772
29.099998,2.0,6.54862894,0.28537348
36.73,2.5,7.093264705,0.36019823
46.21,3.0,7.638363785,0.45316526
55.45,3.5,8.183824908,0.5437788
56.98,4.0,8.731594616,0.55878294
57.600002,4.5,9.276407225,0.5648631
58.039997,5.0,9.821322293000001,0.5691779
61.66,5.5,10.366345923,0.60467803
63.05,6.0,10.911387920000001,0.61830926
65.16,6.5,11.459461716,0.6390013
70.28999,7.0,12.004691219000001,0.6893094
73.0,7.5,12.549245144,0.7158854
70.89,8.0,13.094296594000001,0.69519347
74.86,8.5,13.642373236000001,0.7341258
79.770004,9.0,14.187337696,0.78227645
80.06,9.5,14.732360067,0.7851204
84.03999,10.0,15.276904668,0.82415086
83.850006,10.5,15.822162684,0.8222876
82.39,11.0,16.370414681,0.8079699
81.78,11.5,16.915114629,0.8019879
84.270004,12.0,17.460035353000002,0.8264064
88.83,12.5,18.004994137,0.8711247
89.869995,13.0,18.549985287000002,0.88132364
100.869995,13.5,19.098750574,0.9891967
101.520004,14.0,19.643387762,0.9955711
97.58,14.5,20.188243998,0.95693284
102.96001,15.0,20.733062939,1.0096927
104.380005,15.5,21.281144341,1.0236181
111.05,16.0,21.826231041,1.0890284
115.33,16.5,22.371124405,1.1310009
115.81,17.0,22.915862242000003,1.1357081
115.990005,17.5,23.46444599,1.1374733
120.22,18.0,24.009348772000003,1.1789553
123.64,18.5,24.553828658,1.2124941
124.65001,19.0,25.099098537000003,1.2223989
131.85,19.5,25.647474260000003,1.2930068
135.38,20.0,26.192362965,1.3276242
135.84,20.5,26.737220434,1.3321352
132.83,21.0,27.282179017,1.3026172
129.0,21.5,27.826985352,1.2650578
135.89,22.0,28.375386136000003,1.3326255
137.29001,22.5,28.920426610000003,1.346355
144.95,23.0,29.466378510000002,1.4214737
147.67,23.5,30.010081289000002,1.4481479
150.17,24.0,30.558165343000002,1.4726645
152.5,24.5,31.103180717,1.495514
157.64,25.0,31.648383091000003,1.5459201
161.72,25.5,32.193247846000006,1.5859313
164.54001,26.0,32.741615692,1.6135862
166.45,26.5,33.287261621,1.6323167
166.58,27.0,33.831890247000004,1.6335917
165.76001,27.5,34.37630713,1.6255503
170.36,28.0,34.92474171,1.6706607
166.88,28.5,35.469366283,1.6365337
166.32,29.0,36.014646107000004,1.631042
173.29001,29.5,36.559446353000006,1.6993943
170.92,30.0,37.107568037,1.6761525
180.92,30.5,37.652725618000005,1.774219
186.63,31.0,38.197471415,1.830215
190.99,31.5,38.742317584000006,1.872972
192.53,32.0,39.290814388,1.8880742
196.23001,32.5,39.835750004000005,1.924359
192.47,33.0,40.380607690000005,1.8874859
187.82,33.5,40.925473506,1.841885
198.42,34.0,41.473603474,1.9458355
203.76001,34.5,42.019002379,1.9982029
194.29001,35.0,42.563740739,1.905334
205.18001,35.5,43.108378979,2.0121286
216.37001,36.0,43.653842737000005,2.121865
221.37001,36.5,44.201844593000004,2.1708982
223.58,37.0,44.746533178,2.192571
