load_cell_field_0,load_cell_field_1,load_cell_field_2,load_cell_field_3,load_cell_field_4,load_cell_field_5,load_cell_timestamp,load_cell_reading,actuator_displacement,Time (s),Load (N)
2.0,3604.0,-17.27,725.0,2.0,2.0,3604.0,0.0,0.0,0.0,0.0
3.0,4104.0,-13.84,725.5,2.0,2.0,4104.0,3.4300003,0.5,0.545105788,0.03363681
4.0,4604.0,-13.73,726.0,2.0,2.0,4604.0,3.540001,1.0,1.090017674,0.03471555
5.0,5104.0,-12.53,726.5,2.0,2.0,5104.0,4.7400007,1.5,1.6346895060000002,0.046483524
6.0,5604.0,-9.15,727.0,2.0,2.0,5604.0,8.120001,2.0,2.182722839,0.07963
7.0,6104.0,-10.5,727.5,2.0,2.0,6104.0,6.7700005,2.5,2.7278619440000003,0.06639102
8.0,6604.0,-7.97,728.0,2.0,2.0,6604.0,9.300001,3.0,3.2727898640000004,0.09120185
9.0,7104.0,-6.33,728.5,2.0,2.0,7104.0,10.940001,3.5,3.817499379,0.107284755
10.0,7604.0,-7.48,729.0,2.0,2.0,7604.0,9.790001,4.0,4.3652743460000005,0.09600711
11.0,8104.0,-4.45,729.5,2.0,2.0,8104.0,12.820001,4.5,4.910904625000001,0.12572126
12.0,8604.0,-0.12,730.0,2.0,2.0,8604.0,17.15,5.0,5.455781903,0.16818404
13.0,9104.0,-1.75,730.5,2.0,2.0,9104.0,15.52,5.5,6.000661675000001,0.15219921
14.0,9604.0,-0.9,731.0,2.0,2.0,9604.0,16.37,6.0,6.545737117000001,0.16053486
15.0,10104.0,-0.42,731.5,2.0,2.0,10104.0,16.85,6.5,7.090500379000001,0.16524205
16.0,10604.0,-6.44,732.0,2.0,2.0,10604.0,10.83,7.0,7.638662074000001,0.10620602
17.0,11104.0,-1.7,732.5,2.0,2.0,11104.0,15.570001,7.5,8.183436526000001,0.15268955
18.0,11604.0,-0.57,733.0,2.0,2.0,11604.0,16.7,8.0,8.728479178,0.16377106
19.0,12104.0,1.02,733.5,2.0,2.0,12104.0,18.29,8.5,9.273365191,0.17936362
20.0,12604.0,5.67,734.0,2.0,2.0,12604.0,22.94,9.0,9.818267748,0.22496456
21.0,13104.0,1.29,734.5,2.0,2.0,13104.0,18.560001,9.5,10.366361447000001,0.18201143
22.0,13604.0,5.13,735.0,2.0,2.0,13604.0,22.400002,10.0,10.911507262,0.21966895
23.0,14104.0,6.33,735.5,2.0,2.0,14104.0,23.6,10.5,11.456316377,0.23143694
24.0,14604.0,6.0,736.0,2.0,2.0,14604.0,23.27,11.0,12.000689206,0.22820075
25.0,15104.0,7.88,736.5,2.0,2.0,15104.0,25.150002,11.5,12.546177841,0.24663725
26.0,15604.0,9.43,737.0,2.0,2.0,15604.0,26.7,12.0,13.094390758000001,0.26183754
27.0,16104.0,9.18,737.5,2.0,2.0,16104.0,26.45,12.5,13.639301717,0.25938588
28.0,16604.0,10.29,738.0,2.0,2.0,16604.0,27.560001,13.0,14.184179482000001,0.27027127
29.0,17104.0,13.88,738.5,2.0,2.0,17104.0,31.150002,13.5,14.729017794,0.30547714
30.0,17604.0,14.21,739.0,2.0,2.0,17604.0,31.48,14.0,15.27451207,0.30871335
31.0,18104.0,13.95,739.5,2.0,2.0,18104.0,31.220001,14.5,15.822047812000001,0.3061636
32.0,18604.0,15.39,740.0,2.0,2.0,18604.0,32.66,15.0,16.367744499,0.3202852
33.0,19104.0,18.52,740.5,2.0,2.0,19104.0,35.79,15.5,16.912172818000002,0.35097998
34.0,19604.0,20.85,741.0,2.0,2.0,19604.0,38.120003,16.0,17.457046826000003,0.37382948
35.0,20104.0,20.63,741.5,2.0,2.0,20104.0,37.9,16.5,18.001371274,0.37167203
36.0,20604.0,20.55,742.0,2.0,2.0,20604.0,37.82,17.0,18.550191335,0.3708875
37.0,21104.0,21.99,742.5,2.0,2.0,21104.0,39.260002,17.5,19.094970127,0.38500905
38.0,21604.0,28.63,743.0,2.0,2.0,21604.0,45.9,18.0,19.64031151,0.45012522
39.0,22104.0,26.56,743.5,2.0,2.0,22104.0,43.83,18.5,20.184441455,0.42982545
40.0,22604.0,26.99,744.0,2.0,2.0,22604.0,44.260002,19.0,20.729971286,0.43404233
41.0,23104.0,27.56,744.5,2.0,2.0,23104.0,44.83,19.5,21.278118550000002,0.43963212
42.0,23604.0,27.09,745.0,2.0,2.0,23604.0,44.36,20.0,21.822624065000003,0.43502298
43.0,24104.0,28.93,745.5,2.0,2.0,24104.0,46.2,20.5,22.371016308,0.4530672
44.0,24604.0,32.05,746.0,2.0,2.0,24604.0,49.32,21.0,22.913141882,0.48366398
45.0,25104.0,29.94,746.5,2.0,2.0,25104.0,47.21,21.5,23.46097392,0.46297196
46.0,25604.0,34.49,747.0,2.0,2.0,25604.0,51.760002,22.0,24.005878684000002,0.5075922
47.0,26104.0,29.47,747.5,2.0,2.0,26104.0,46.739998,22.5,24.550778696000002,0.45836282
48.0,26604.0,30.85,748.0,2.0,2.0,26604.0,48.120003,23.0,25.095730407,0.471896
