load_cell_field_0,load_cell_field_1,load_cell_field_2,load_cell_field_3,load_cell_field_4,load_cell_field_5,load_cell_timestamp,load_cell_reading,actuator_displacement,Time (s),Load (N)
2.0,14928.0,-39.55,146.5,2.0,2.0,14928.0,0.0,0.0,0.0,0.0
3.0,15428.0,-34.61,147.0,2.0,2.0,15428.0,4.9399986,0.5,0.5449254570000001,0.048444837
4.0,15928.0,-32.68,147.5,2.0,2.0,15928.0,6.869999,1.0,1.089924995,0.06737167
5.0,16428.0,-30.81,148.0,2.0,2.0,16428.0,8.74,1.5,1.63435617,0.08571011
6.0,16928.0,-28.65,148.5,2.0,2.0,16928.0,10.9,2.0,2.1830250220000003,0.1068925
7.0,17428.0,-26.56,149.0,2.0,2.0,17428.0,12.99,2.5,2.728396066,0.12738839
8.0,17928.0,-25.38,149.5,2.0,2.0,17928.0,14.17,3.0,3.2731333090000003,0.13896023
9.0,18428.0,-23.58,150.0,2.0,2.0,18428.0,15.969999,3.5,3.817735497,0.1566122
10.0,18928.0,-20.45,150.5,2.0,2.0,18928.0,19.099998,4.0,4.3626109600000005,0.187307
11.0,19428.0,-17.42,151.0,2.0,2.0,19428.0,22.13,4.5,4.910900162,0.21702115
12.0,19928.0,-17.09,151.5,2.0,2.0,19928.0,22.46,5.0,5.4555356,0.22025736
13.0,20428.0,-14.62,152.0,2.0,2.0,20428.0,24.93,5.5,6.000671027,0.24447978
14.0,20928.0,-14.05,152.5,2.0,2.0,20928.0,25.5,6.0,6.545686507,0.25006956
15.0,21428.0,-11.66,153.0,2.0,2.0,21428.0,27.89,6.5,7.090569752,0.27350748
16.0,21928.0,-12.45,153.5,2.0,2.0,21928.0,27.099998,7.0,7.638435725000001,0.2657602
17.0,22428.0,-12.01,154.0,2.0,2.0,22428.0,27.539999,7.5,8.18387974,0.27007514
18.0,22928.0,-11.34,154.5,2.0,2.0,22928.0,28.21,8.0,8.728770732000001,0.2766456
19.0,23428.0,-8.85,155.0,2.0,2.0,23428.0,30.699999,8.5,9.273875722000001,0.30106413
20.0,23928.0,-3.49,155.5,2.0,2.0,23928.0,36.059998,9.0,9.818311502,0.3536278
21.0,24428.0,-1.88,156.0,2.0,2.0,24428.0,37.67,9.5,10.366695792,0.3694165
22.0,24928.0,-1.84,156.5,2.0,2.0,24928.0,37.71,10.0,10.911567060000001,0.36980876
23.0,25428.0,1.23,157.0,2.0,2.0,25428.0,40.78,10.5,11.456369241,0.3999152
24.0,25928.0,3.0,157.5,2.0,2.0,25928.0,42.55,11.0,12.00132679,0.41727296
25.0,26428.0,4.46,158.0,2.0,2.0,26428.0,44.01,11.5,12.546239096,0.43159065
26.0,26928.0,5.6,158.5,2.0,2.0,26928.0,45.149998,12.0,13.094378255,0.44277024
27.0,27428.0,6.83,159.0,2.0,2.0,27428.0,46.379997,12.5,13.638907333,0.4548324
28.0,27928.0,8.58,159.5,2.0,2.0,27928.0,48.129997,13.0,14.184336122000001,0.47199404
