load_cell_field_0,load_cell_field_1,load_cell_field_2,load_cell_field_3,load_cell_field_4,load_cell_field_5,load_cell_timestamp,load_cell_reading,actuator_displacement,Time (s),Load (N)
7.0,9248.0,-21.6,468.5,2.0,2.0,9248.0,0.0,0.0,2.7246549580000003,0.0
8.0,9748.0,-10.06,469.0,2.0,2.0,9748.0,11.54,0.5,3.272797945,0.11316874
9.0,10248.0,2.89,469.5,2.0,2.0,10248.0,24.49,1.0,3.817515585,0.24016486
10.0,10748.0,16.49,470.0,2.0,2.0,10748.0,38.09,1.5,4.362229534,0.37353528
11.0,11248.0,29.89,470.5,2.0,2.0,11248.0,51.489998,2.0,4.9068631620000005,0.5049444
12.0,11748.0,42.08,471.0,2.0,2.0,11748.0,63.68,2.5,5.455803654,0.6244875
13.0,12248.0,40.77,471.5,2.0,2.0,12248.0,62.370003,3.0,6.000531007,0.61164075
14.0,12748.0,54.88,472.0,2.0,2.0,12748.0,76.48,3.5,6.55131613,0.7500126
15.0,13248.0,68.48,472.5,2.0,2.0,13248.0,90.08,4.0,7.090528802000001,0.88338304
16.0,13748.0,77.35,473.0,2.0,2.0,13748.0,98.95,4.5,7.635454667,0.97036797
17.0,14248.0,87.62,473.5,2.0,2.0,14248.0,109.22,5.0,8.183665413,1.0710824
18.0,14748.0,95.58,474.0,2.0,2.0,14748.0,117.18,5.5,8.72805335,1.1491432
19.0,15248.0,104.89,474.5,2.0,2.0,15248.0,126.49,6.0,9.273650347,1.2404432
20.0,15748.0,114.8,475.0,2.0,2.0,15748.0,136.40001,6.5,9.818198431,1.3376272
21.0,16248.0,120.99,475.5,2.0,2.0,16248.0,142.59,7.0,10.366267924,1.3983302
22.0,16748.0,123.52,476.0,2.0,2.0,16748.0,145.12,7.5,10.911459346000001,1.423141
23.0,17248.0,125.48,476.5,2.0,2.0,17248.0,147.08,8.0,11.456676634,1.4423621
24.0,17748.0,127.74,477.0,2.0,2.0,17748.0,149.34,8.5,12.001470281000001,1.464525
25.0,18248.0,131.01,477.5,2.0,2.0,18248.0,152.61,9.0,12.550547652,1.4965928
26.0,18748.0,134.65,478.0,2.0,2.0,18748.0,156.25,9.5,13.094456820000001,1.532289
27.0,19248.0,135.45,478.5,2.0,2.0,19248.0,157.05,10.0,13.639510671,1.5401344
28.0,19748.0,137.14,479.0,2.0,2.0,19748.0,158.74,10.5,14.184551369000001,1.5567076
29.0,20248.0,139.94,479.5,2.0,2.0,20248.0,161.54001,11.0,14.729530069,1.5841663
30.0,20748.0,142.75,480.0,2.0,2.0,20748.0,164.35,11.5,15.277598483,1.611723
31.0,21248.0,144.57,480.5,2.0,2.0,21248.0,166.17001,12.0,15.822406603000001,1.629571
32.0,21748.0,145.93,481.0,2.0,2.0,21748.0,167.53,12.5,16.367267481000003,1.6429079
