Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm),Load (N)
3.0,-14540.0,12.19,0.0,720,0.11954306349999999
4.0,-14040.0,28.78,0.5,720,0.282235387
5.0,-13540.0,48.12,1.0,720,0.471895998
6.0,-13040.0,50.34,1.5,720,0.49366676100000006
7.0,-12540.0,71.57,2.0,720,0.7018619405
8.0,-12040.0,84.69,2.5,720,0.8305251885
9.0,-11540.0,110.72,3.0,720,1.085792288
10.0,-11040.0,122.83,3.5,720,1.2045508195
11.0,-10540.0,134.69,4.0,720,1.3208576885
12.0,-10040.0,153.11,4.5,720,1.5014961815
13.0,-9540.0,140.45,5.0,720,1.3773439925
14.0,-9040.0,169.13,5.5,720,1.6585987145
15.0,-8540.0,178.41,6.0,720,1.7496044265
16.0,-8040.0,205.42,6.5,720,2.014482043
17.0,-7540.0,207.9,7.0,720,2.038802535
18.0,-7040.0,234.42,7.5,720,2.298874893
19.0,-6540.0,251.92,8.0,720,2.470491268
20.0,-6040.0,271.35,8.5,720,2.6610344775000003
21.0,-5540.0,255.72,9.0,720,2.507756538
22.0,-5040.0,276.9,9.5,720,2.715461385
23.0,-4540.0,291.97,10.0,720,2.8632476005000003
24.0,-4040.0,315.99,10.5,720,3.0988033335000003
25.0,-3540.0,335.99,11.0,720,3.2949363335
26.0,-3040.0,342.86,11.5,720,3.3623080190000003
27.0,-2540.0,369.18,12.0,720,3.620419047
28.0,-2040.0,387.73,12.5,720,3.8023324045000004
29.0,-1540.0,400.13,13.0,720,3.9239348645
30.0,-1040.0,416.17,13.5,720,4.0812335305000005
31.0,-540.0,435.72,14.0,720,4.272953538
32.0,-40.0,454.03,14.5,720,4.4525132995
33.0,460.0,470.17,15.0,720,4.6107926305
34.0,960.0,490.0,15.5,720,4.8052585
35.0,1460.0,507.99,16.0,720,4.9816801335
36.0,1960.0,525.44,16.5,720,5.152806176
37.0,2460.0,542.56,17.0,720,5.320696023999999
38.0,2960.0,465.64,17.5,720,4.566368506
39.0,3460.0,485.1,18.0,720,4.757205915
40.0,3960.0,509.33,18.5,720,4.9948210445
41.0,4460.0,526.83,19.0,720,5.1664374195
42.0,4960.0,548.39,19.5,720,5.3778687935
43.0,5460.0,565.92,20.0,720,5.549779367999999
44.0,5960.0,581.65,20.5,720,5.7040379725
45.0,6460.0,586.21,21.0,720,5.748756296500001
46.0,6960.0,595.02,21.5,720,5.835152883
47.0,7460.0,604.33,22.0,720,5.9264527945
48.0,7960.0,614.48,22.5,720,6.025990292
49.0,8460.0,604.43,23.0,720,5.9274334595
50.0,8960.0,616.79,23.5,720,6.0486436535
51.0,9460.0,624.82,24.0,720,6.127391053
52.0,9960.0,635.56,24.5,720,6.232714474
53.0,10460.0,645.69,25.0,720,6.3320558385000005
54.0,10960.0,654.51,25.5,720,6.4185504915
55.0,11460.0,662.75,26.0,720,6.4993572875
56.0,11960.0,671.42,26.5,720,6.584380942999999
57.0,12460.0,675.52,27.0,720,6.624588208
58.0,12960.0,681.73,27.5,720,6.6854875045
59.0,13460.0,646.15,28.0,720,6.3365668975
60.0,13960.0,655.83,28.5,720,6.4314952695
61.0,14460.0,665.44,29.0,720,6.525737176000001
62.0,14960.0,675.21,29.5,720,6.6215481465
63.0,15460.0,684.69,30.0,720,6.714515188500001
64.0,15960.0,694.59,30.5,720,6.811601023500001
65.0,16460.0,704.47,31.0,720,6.9084907255
66.0,16960.0,712.87,31.5,720,6.9908665855
67.0,17460.0,720.92,32.0,720,7.0698101179999995
68.0,17960.0,729.94,32.5,720,7.158266101000001
69.0,18460.0,741.29,33.0,720,7.2695715785
70.0,18960.0,745.62,33.5,720,7.312034373
71.0,19460.0,756.49,34.0,720,7.4186326585
72.0,19960.0,763.4,34.5,720,7.48639661
73.0,20460.0,773.47,35.0,720,7.5851495755
74.0,20960.0,780.76,35.5,720,7.656640054
75.0,21460.0,790.95,36.0,720,7.756569817500001
76.0,21960.0,801.52,36.5,720,7.860226108
77.0,22460.0,806.08,37.0,720,7.904944432000001
78.0,22960.0,813.57,37.5,720,7.9783962405
79.0,23460.0,824.01,38.0,720,8.0807776665
80.0,23960.0,832.67,38.5,720,8.1657032555
81.0,24460.0,843.35,39.0,720,8.2704382775
82.0,24960.0,851.14,39.5,720,8.346832081
83.0,25460.0,858.55,40.0,720,8.4194993575
84.0,25960.0,867.6,40.5,720,8.50824954
85.0,26460.0,874.2,41.0,720,8.572973430000001
86.0,26960.0,882.32,41.5,720,8.652603428
87.0,27460.0,891.21,42.0,720,8.739784546500001
88.0,27960.0,900.25,42.5,720,8.8284366625
89.0,28460.0,908.72,43.0,720,8.911498988
