load_cell_field_0,load_cell_field_1,load_cell_field_2,load_cell_field_3,load_cell_field_4,load_cell_field_5,load_cell_timestamp,load_cell_reading,actuator_displacement,Time (s),Load (N)
6.0,-4108.0,-39.26,193.0,2.0,2.0,-4108.0,0.0,0.0,2.182689218,0.0
7.0,-3608.0,-37.3,193.5,2.0,2.0,-3608.0,1.9599991,0.5,2.72974395,0.019221008
8.0,-3108.0,-35.59,194.0,2.0,2.0,-3108.0,3.6699982,1.0,3.2727049920000004,0.035990387
9.0,-2608.0,-35.4,194.5,2.0,2.0,-2608.0,3.8599968,1.5,3.820737675,0.03785363
10.0,-2108.0,-33.5,195.0,2.0,2.0,-2108.0,5.7599983,2.0,4.3653988870000004,0.05648628
11.0,-1608.0,-31.94,195.5,2.0,2.0,-1608.0,7.319998,2.5,4.910636354,0.071784645
12.0,-1108.0,-30.93,196.0,2.0,2.0,-1108.0,8.329998,3.0,5.455607678000001,0.08168936
13.0,-608.0,-30.42,196.5,2.0,2.0,-608.0,8.839998,3.5,6.000575518000001,0.08669075
14.0,-108.0,-28.94,197.0,2.0,2.0,-108.0,10.319998,4.0,6.548029385,0.101204604
15.0,392.0,-28.58,197.5,2.0,2.0,392.0,10.679998,4.5,7.093352087,0.10473499
16.0,892.0,-28.66,198.0,2.0,2.0,892.0,10.599998,5.0,7.638404418,0.10395047
17.0,1392.0,-27.23,198.5,2.0,2.0,1392.0,12.029999,5.5,8.182921894,0.11797398
18.0,1892.0,-26.17,199.0,2.0,2.0,1892.0,13.089998,6.0,8.731059477,0.12836903
19.0,2392.0,-26.06,199.5,2.0,2.0,2392.0,13.199999,6.5,9.27655652,0.12944776
20.0,2892.0,-24.69,200.0,2.0,2.0,2892.0,14.569998,7.0,9.821256209000001,0.14288287
21.0,3392.0,-24.66,200.5,2.0,2.0,3392.0,14.599998,7.5,10.366069463,0.14317706
22.0,3892.0,-24.76,201.0,2.0,2.0,3892.0,14.499998,8.0,10.91112872,0.1421964
23.0,4392.0,-23.92,201.5,2.0,2.0,4392.0,15.339998,8.5,11.455859648,0.15043399
24.0,4892.0,-22.04,202.0,2.0,2.0,4892.0,17.219997,9.0,12.000770345000001,0.16887048
25.0,5392.0,-21.39,202.5,2.0,2.0,5392.0,17.869999,9.5,12.548624132,0.17524482
26.0,5892.0,-20.59,203.0,2.0,2.0,5892.0,18.669998,10.0,13.094061937000001,0.18309014
27.0,6392.0,-20.86,203.5,2.0,2.0,6392.0,18.399998,10.5,13.638905153000001,0.18044233
28.0,6892.0,-19.89,204.0,2.0,2.0,6892.0,19.369999,11.0,14.183875159000001,0.18995479
29.0,7392.0,-20.08,204.5,2.0,2.0,7392.0,19.179998,11.5,14.732656693000001,0.18809153
30.0,7892.0,-19.74,205.0,2.0,2.0,7892.0,19.519999,12.0,15.277091372000001,0.19142579
31.0,8392.0,-20.88,205.5,2.0,2.0,8392.0,18.38,12.5,15.822009512000001,0.18024622
32.0,8892.0,-18.63,206.0,2.0,2.0,8892.0,20.63,13.0,16.366655126,0.20231117
33.0,9392.0,-17.05,206.5,2.0,2.0,9392.0,22.21,13.5,16.911469178,0.21780568
34.0,9892.0,-14.95,207.0,2.0,2.0,9892.0,24.309998,14.0,17.456622336000002,0.23839964
35.0,10392.0,-12.64,207.5,2.0,2.0,10392.0,26.619999,14.5,18.004840975,0.261053
36.0,10892.0,-12.28,208.0,2.0,2.0,10892.0,26.98,15.0,18.549022229000002,0.2645834
37.0,11392.0,-11.01,208.5,2.0,2.0,11392.0,28.249998,15.5,19.094462553,0.27703783
38.0,11892.0,-11.15,209.0,2.0,2.0,11892.0,28.109999,16.0,19.639517113,0.27566493
39.0,12392.0,-10.53,209.5,2.0,2.0,12392.0,28.73,16.5,20.187810979,0.28174502
40.0,12892.0,-9.5,210.0,2.0,2.0,12892.0,29.759998,17.0,20.732511031,0.2918459
41.0,13392.0,-9.64,210.5,2.0,2.0,13392.0,29.619999,17.5,21.277404345,0.29047292
42.0,13892.0,-9.87,211.0,2.0,2.0,13892.0,29.39,18.0,21.822380542,0.28821743
43.0,14392.0,-10.43,211.5,2.0,2.0,14392.0,28.829998,18.5,22.367010277000002,0.2827257
44.0,14892.0,-8.85,212.0,2.0,2.0,14892.0,30.409998,19.0,22.915674043000003,0.2982202
45.0,15392.0,-7.36,212.5,2.0,2.0,15392.0,31.899998,19.5,23.460436141000002,0.31283212
46.0,15892.0,-7.59,213.0,2.0,2.0,15892.0,31.669998,20.0,24.005491195,0.3105766
47.0,16392.0,-6.36,213.5,2.0,2.0,16392.0,32.899998,20.5,24.549969548,0.32263875
48.0,16892.0,-5.18,214.0,2.0,2.0,16892.0,34.079998,21.0,25.095096556,0.3342106
49.0,17392.0,-4.65,214.5,2.0,2.0,17392.0,34.609997,21.5,25.643423236,0.33940813
50.0,17892.0,-3.7,215.0,2.0,2.0,17892.0,35.559998,22.0,26.188406111000003,0.34872445
51.0,18392.0,-3.31,215.5,2.0,2.0,18392.0,35.949997,22.5,26.732945173,0.35254905
52.0,18892.0,-2.59,216.0,2.0,2.0,18892.0,36.67,23.0,27.278146036000003,0.35960984
53.0,19392.0,-2.23,216.5,2.0,2.0,19392.0,37.03,23.5,27.822094667000002,0.36314023
54.0,19892.0,-1.52,217.0,2.0,2.0,19892.0,37.739998,24.0,28.370675697000003,0.37010294
55.0,20392.0,-0.57,217.5,2.0,2.0,20392.0,38.69,24.5,28.916167683,0.37941927
56.0,20892.0,0.83,218.0,2.0,2.0,20892.0,40.09,25.0,29.461029006,0.39314857
57.0,21392.0,1.9,218.5,2.0,2.0,21392.0,41.16,25.5,30.006194199000003,0.40364167
58.0,21892.0,1.46,219.0,2.0,2.0,21892.0,40.719997,26.0,30.550416375,0.39932677
59.0,22392.0,1.92,219.5,2.0,2.0,22392.0,41.179996,26.5,31.099136949000002,0.40383783
60.0,22892.0,4.07,220.0,2.0,2.0,22892.0,43.329998,27.0,31.644028428000002,0.4249221
61.0,23392.0,6.02,220.5,2.0,2.0,23392.0,45.28,27.5,32.188986649,0.44404507
62.0,23892.0,6.7,221.0,2.0,2.0,23892.0,45.96,28.0,32.733207007000004,0.4507136
63.0,24392.0,8.12,221.5,2.0,2.0,24392.0,47.379997,28.5,33.278979264,0.46463904
64.0,24892.0,8.48,222.0,2.0,2.0,24892.0,47.739998,29.0,33.826943412000006,0.46816945
65.0,25392.0,6.77,222.5,2.0,2.0,25392.0,46.03,29.5,34.371941027000005,0.45140007
66.0,25892.0,7.89,223.0,2.0,2.0,25892.0,47.149998,30.0,34.916630378,0.4623835
67.0,26392.0,9.23,223.5,2.0,2.0,26392.0,48.489998,30.5,35.461604030000004,0.47552443
68.0,26892.0,9.59,224.0,2.0,2.0,26892.0,48.85,31.0,36.006415681,0.4790548
69.0,27392.0,10.38,224.5,2.0,2.0,27392.0,49.64,31.5,36.554564146000004,0.48680207
70.0,27892.0,11.68,225.0,2.0,2.0,27892.0,50.94,32.0,37.099490849000006,0.49955073
71.0,28392.0,12.79,225.5,2.0,2.0,28392.0,52.05,32.5,37.644651445,0.5104361
72.0,28892.0,13.91,226.0,2.0,2.0,28892.0,53.17,33.0,38.189876214,0.5214195
73.0,29392.0,15.07,226.5,2.0,2.0,29392.0,54.329998,33.5,38.73410796,0.53279525
74.0,29892.0,16.04,227.0,2.0,2.0,29892.0,55.3,34.0,39.282789922,0.54230773
75.0,30392.0,17.03,227.5,2.0,2.0,30392.0,56.29,34.5,39.827751368,0.5520163
76.0,30892.0,17.95,228.0,2.0,2.0,30892.0,57.21,35.0,40.372695274,0.56103843
77.0,31392.0,19.33,228.5,2.0,2.0,31392.0,58.589996,35.5,40.917315187,0.5745716
78.0,31892.0,19.78,229.0,2.0,2.0,31892.0,59.04,36.0,41.462377563000004,0.5789846
79.0,32392.0,20.76,229.5,2.0,2.0,32392.0,60.019997,36.5,42.010570040000005,0.5885951
80.0,-32644.0,22.47,230.0,2.0,2.0,-32644.0,61.729996,37.0,42.555008251000004,0.60536444
81.0,-32144.0,22.88,230.5,2.0,2.0,-32144.0,62.14,37.5,43.100293899,0.6093852
82.0,-31644.0,23.48,231.0,2.0,2.0,-31644.0,62.739998,38.0,43.645560834,0.6152692
83.0,-31144.0,23.5,231.5,2.0,2.0,-31144.0,62.76,38.5,44.193525376000004,0.6154653
84.0,-30644.0,24.43,232.0,2.0,2.0,-30644.0,63.69,39.0,44.738111307000004,0.6245855
