load_cell_field_0,load_cell_field_1,load_cell_field_2,load_cell_field_3,load_cell_field_4,load_cell_field_5,load_cell_timestamp,load_cell_reading,actuator_displacement,Time (s),Load (N)
8.0,25464.0,-37.87,91.5,2.0,2.0,25464.0,0.0,0.0,3.2730466070000004,0.0
9.0,25964.0,-22.9,92.0,2.0,2.0,25964.0,14.969999,0.5,3.8209720700000003,0.14680555
10.0,26464.0,-20.72,92.5,2.0,2.0,26464.0,17.15,1.0,4.366075112,0.16818406
11.0,26964.0,-11.85,93.0,2.0,2.0,26964.0,26.019999,1.5,4.910992098,0.25516903
12.0,27464.0,-5.86,93.5,2.0,2.0,27464.0,32.01,2.0,5.461951598000001,0.31391084
13.0,27964.0,8.73,94.0,2.0,2.0,27964.0,46.6,2.5,6.000954153,0.45698988
14.0,28464.0,19.41,94.5,2.0,2.0,28464.0,57.28,3.0,6.54902513,0.5617249
15.0,28964.0,31.02,95.0,2.0,2.0,28964.0,68.89,3.5,7.093705432,0.67558014
16.0,29464.0,31.81,95.5,2.0,2.0,29464.0,69.68,4.0,7.638746375,0.6833273
17.0,29964.0,47.18,96.0,2.0,2.0,29964.0,85.05,4.5,8.183475441,0.83405554
18.0,30464.0,69.72,96.5,2.0,2.0,30464.0,107.59,5.0,8.728340347000001,1.0550975
19.0,30964.0,81.98,97.0,2.0,2.0,30964.0,119.850006,5.5,9.276509886000001,1.1753271
20.0,31464.0,97.9,97.5,2.0,2.0,31464.0,135.77,6.0,9.821544240000001,1.3314488
21.0,31964.0,123.43,98.0,2.0,2.0,31964.0,161.3,6.5,10.366506081,1.5818126
22.0,32464.0,139.04,98.5,2.0,2.0,32464.0,176.90999,7.0,10.911039859,1.7348944
23.0,-32572.0,149.95,99.0,2.0,2.0,-32572.0,187.81999,7.5,11.459379125,1.841885
24.0,-32072.0,172.18,99.5,2.0,2.0,-32072.0,210.04999,8.0,12.004565937,2.0598867
25.0,-31572.0,176.8,100.0,2.0,2.0,-31572.0,214.67,8.5,12.549768507000001,2.1051936
26.0,-31072.0,203.48,100.5,2.0,2.0,-31072.0,241.34999,9.0,13.094364168,2.3668349
27.0,-30572.0,214.22,101.0,2.0,2.0,-30572.0,252.09,9.5,13.639366667,2.4721584
28.0,-30072.0,215.19,101.5,2.0,2.0,-30072.0,253.06,10.0,14.187701163000002,2.4816709
29.0,-29572.0,209.82,102.0,2.0,2.0,-29572.0,247.69,10.5,14.732559307,2.429009
30.0,-29072.0,241.33,102.5,2.0,2.0,-29072.0,279.2,11.0,15.277101419000001,2.7380166
31.0,-28572.0,261.99,103.0,2.0,2.0,-28572.0,299.86,11.5,15.822354642,2.9406219
32.0,-28072.0,275.22,103.5,2.0,2.0,-28072.0,313.09,12.0,16.367404799000003,3.070364
33.0,-27572.0,301.89,104.0,2.0,2.0,-27572.0,339.76,12.5,16.915642679,3.3319073
34.0,-27072.0,336.61,104.5,2.0,2.0,-27072.0,374.47998,13.0,17.460070501,3.6723943
35.0,-26572.0,363.57,105.0,2.0,2.0,-26572.0,401.44,13.5,18.005279433000002,3.9367814
36.0,-26072.0,373.51,105.5,2.0,2.0,-26072.0,411.38,14.0,18.550391672,4.03426
37.0,-25572.0,404.46,106.0,2.0,2.0,-25572.0,442.33,14.5,19.098837609,4.337775
38.0,-25072.0,435.51,106.5,2.0,2.0,-25072.0,473.38,15.0,19.64350955,4.642272
39.0,-24572.0,467.45,107.0,2.0,2.0,-24572.0,505.32,15.5,20.188614295,4.9554963
40.0,-24072.0,500.91,107.5,2.0,2.0,-24072.0,538.78,16.0,20.733283899,5.283627
41.0,-23572.0,528.39,108.0,2.0,2.0,-23572.0,566.26,16.5,21.278335305000002,5.553114
42.0,-23072.0,559.33,108.5,2.0,2.0,-23072.0,597.2,17.0,21.826672044000002,5.8565316
