Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm),Load (N)
6.0,-1680.0,2.45,0.0,750,0.0240262925
7.0,-1180.0,12.63,0.5,750,0.12385798950000002
8.0,-680.0,23.24,1.0,750,0.227906546
9.0,-180.0,25.23,1.5,750,0.2474217795
10.0,320.0,42.25,2.0,750,0.4143309625
11.0,820.0,66.19,2.5,750,0.6491021634999999
12.0,1320.0,86.54,3.0,750,0.848667491
13.0,1820.0,78.34,3.5,750,0.7682529610000001
14.0,2320.0,108.34,4.0,750,1.0624524610000001
15.0,2820.0,116.19,4.5,750,1.1394346635
16.0,3320.0,132.43,5.0,750,1.2986946595000002
17.0,3820.0,143.84,5.5,750,1.4105885360000001
18.0,4320.0,175.52,6.0,750,1.721263208
19.0,4820.0,194.76,6.5,750,1.909943154
20.0,5320.0,215.46,7.0,750,2.112940809
21.0,5820.0,229.96,7.5,750,2.255137234
22.0,6320.0,237.61,8.0,750,2.3301581065000003
23.0,6820.0,246.5,8.5,750,2.417339225
24.0,7320.0,264.59,9.0,750,2.5947415234999998
25.0,7820.0,279.93,9.5,750,2.7451755345
26.0,8320.0,298.12,10.0,750,2.9235584980000002
27.0,8820.0,309.36,10.5,750,3.033785244
28.0,9320.0,325.52,11.0,750,3.192260708
29.0,9820.0,335.9,11.5,750,3.294053735
30.0,10320.0,355.74,12.0,750,3.488617671
31.0,10820.0,374.92,12.5,750,3.676709218
32.0,11320.0,393.34,13.0,750,3.8573477109999996
33.0,11820.0,404.76,13.5,750,3.969339654
34.0,12320.0,422.08,14.0,750,4.139190832
35.0,12820.0,441.18,14.5,750,4.326497847
36.0,13320.0,452.77,15.0,750,4.4401569205
37.0,13820.0,469.33,15.5,750,4.6025550445
38.0,14320.0,488.75,16.0,750,4.7930001875
39.0,14820.0,497.4,16.5,750,4.87782771
40.0,15320.0,518.49,17.0,750,5.0846499585
41.0,15820.0,535.88,17.5,750,5.255187602
42.0,16320.0,551.42,18.0,750,5.4075829429999995
43.0,16820.0,565.84,18.5,750,5.548994836
44.0,17320.0,574.34,19.0,750,5.6323513610000004
45.0,17820.0,592.33,19.5,750,5.808772994500001
46.0,18320.0,611.63,20.0,750,5.9980413395
47.0,18820.0,632.24,20.5,750,6.200156396000001
48.0,19320.0,652.09,21.0,750,6.3948183985
49.0,19820.0,667.94,21.5,750,6.550253801
50.0,20320.0,683.07,22.0,750,6.698628415500001
51.0,20820.0,701.63,22.5,750,6.8806398395
52.0,21320.0,720.91,23.0,750,7.0697120515
53.0,21820.0,734.1,23.5,750,7.199061765000001
54.0,22320.0,753.28,24.0,750,7.387153312
55.0,22820.0,764.71,24.5,750,7.499243321500001
56.0,23320.0,780.3,25.0,750,7.652128995
57.0,23820.0,791.9,25.5,750,7.765886135
58.0,24320.0,804.43,26.0,750,7.8887634595
59.0,24820.0,713.21,26.5,750,6.9942008465
60.0,25320.0,707.7,27.0,750,6.940166205000001
61.0,25820.0,739.48,27.5,750,7.251821542
62.0,26320.0,758.29,28.0,750,7.436284628499999
63.0,26820.0,772.12,28.5,750,7.5719105980000005
64.0,27320.0,798.86,29.0,750,7.834140419000001
65.0,27820.0,808.95,29.5,750,7.933089517500001
66.0,28320.0,832.56,30.0,750,8.164624523999999
67.0,28820.0,844.92,30.5,750,8.285834718
68.0,29320.0,865.21,31.0,750,8.4848116465
69.0,29820.0,880.34,31.5,750,8.633186261
70.0,30320.0,896.24,32.0,750,8.789111996
71.0,30820.0,909.95,32.5,750,8.9235611675
72.0,31320.0,924.5,33.0,750,9.066247925
73.0,31820.0,938.31,33.5,750,9.2016777615
74.0,32320.0,967.61,34.0,750,9.4890126065
75.0,-32716.0,982.0,34.5,750,9.6301303
76.0,-32216.0,1001.76,35.0,750,9.823909704
