load_cell_field_0,load_cell_field_1,load_cell_field_2,load_cell_field_3,load_cell_field_4,load_cell_field_5,load_cell_timestamp,load_cell_reading,actuator_displacement,Time (s),Load (N)
2.0,-31216.0,-24.92,362.5,2.0,2.0,-31216.0,0.0,0.0,0.0,0.0
3.0,-30716.0,-4.1,363.0,2.0,2.0,-30716.0,20.82,0.5,0.5481447110000001,0.20417444
4.0,-30216.0,42.26,363.5,2.0,2.0,-30216.0,67.18,1.0,1.0932688590000001,0.65881073
5.0,-29716.0,63.48,364.0,2.0,2.0,-29716.0,88.4,1.5,1.6381635380000001,0.86690784
6.0,-29216.0,109.52,364.5,2.0,2.0,-29216.0,134.44,2.0,2.183416556,1.3184059
7.0,-28716.0,149.08,365.0,2.0,2.0,-28716.0,174.0,2.5,2.727959085,1.706357
8.0,-28216.0,208.32,365.5,2.0,2.0,-28216.0,233.24,3.0,3.2761941180000003,2.287303
9.0,-27716.0,260.71,366.0,2.0,2.0,-27716.0,285.63,3.5,3.8211740100000005,2.8010733
10.0,-27216.0,301.14,366.5,2.0,2.0,-27216.0,326.06003,4.0,4.365616128,3.1975563
11.0,-26716.0,346.74,367.0,2.0,2.0,-26716.0,371.66,4.5,4.91110956,3.6447394
12.0,-26216.0,398.35,367.5,2.0,2.0,-26216.0,423.27002,5.0,5.4593607770000006,4.150861
13.0,-25716.0,431.56,368.0,2.0,2.0,-25716.0,456.48,5.5,6.004426778,4.4765396
14.0,-25216.0,467.51,368.5,2.0,2.0,-25216.0,492.43002,6.0,6.548603306,4.8290887
15.0,-24716.0,515.25,369.0,2.0,2.0,-24716.0,540.17,6.5,7.094201492000001,5.2972584
16.0,-24216.0,545.32,369.5,2.0,2.0,-24216.0,570.24,7.0,7.638972793000001,5.592144
17.0,-23716.0,578.0,370.0,2.0,2.0,-23716.0,602.92,7.5,8.187414209,5.9126253
18.0,-23216.0,611.74,370.5,2.0,2.0,-23216.0,636.66,8.0,8.73216885,6.2435017
19.0,-22716.0,651.33,371.0,2.0,2.0,-22716.0,676.25,8.5,9.276236044000001,6.6317472
20.0,-22216.0,686.8,371.5,2.0,2.0,-22216.0,711.72,9.0,9.822282196,6.979589
21.0,-21716.0,725.34,372.0,2.0,2.0,-21716.0,750.26,9.5,10.370121015,7.3575373
22.0,-21216.0,762.11,372.5,2.0,2.0,-21216.0,787.02997,10.0,10.915087075,7.7181277
23.0,-20716.0,805.57,373.0,2.0,2.0,-20716.0,830.49,10.5,11.460014280000001,8.144324
24.0,-20216.0,842.3,373.5,2.0,2.0,-20216.0,867.22,11.0,12.005145044,8.504523
25.0,-19716.0,876.66,374.0,2.0,2.0,-19716.0,901.57996,11.5,12.553068284,8.841479
26.0,-19216.0,914.4,374.5,2.0,2.0,-19216.0,939.32,12.0,13.098269597000002,9.211583
27.0,-18716.0,951.99,375.0,2.0,2.0,-18716.0,976.91,12.5,13.643252426,9.5802145
28.0,-18216.0,988.83,375.5,2.0,2.0,-18216.0,1013.75,13.0,14.188231774,9.941491
29.0,-17716.0,1022.32,376.0,2.0,2.0,-17716.0,1047.24,13.5,14.733275681,10.269917
