load_cell_field_0,load_cell_field_1,load_cell_field_2,load_cell_field_3,load_cell_field_4,load_cell_field_5,load_cell_timestamp,load_cell_reading,actuator_displacement,Time (s),Load (N)
3.0,7892.0,-109.88,205.0,2.0,2.0,7892.0,0.0,0.0,0.0,0.0
4.0,8392.0,-111.45,205.5,2.0,2.0,8392.0,-1.5699997,0.5,0.547456167,-0.015396357
5.0,8892.0,-110.1,206.0,2.0,2.0,8892.0,-0.22000122,1.0,1.0897075740000002,-0.0021574497
6.0,9392.0,-110.85,206.5,2.0,2.0,9392.0,-0.9700012,1.5,1.634929246,-0.0095124245
7.0,9892.0,-110.03,207.0,2.0,2.0,9892.0,-0.15000153,2.0,2.1830134450000003,-0.0014709234
8.0,10392.0,-110.0,207.5,2.0,2.0,10392.0,-0.12000275,2.5,2.728110688,-0.0011767149
9.0,10892.0,-109.93,208.0,2.0,2.0,10892.0,-0.05000305,3.0,3.2737979790000002,-0.0004903078
10.0,11392.0,-97.54,208.5,2.0,2.0,11392.0,12.339996,3.5,3.81949451,0.12101406
11.0,11892.0,-88.31,209.0,2.0,2.0,11892.0,21.57,4.0,4.374721056,0.2115295
12.0,12392.0,-78.43,209.5,2.0,2.0,12392.0,31.449997,4.5,4.910997211000001,0.30841917
13.0,12892.0,-71.2,210.0,2.0,2.0,12892.0,38.68,5.0,5.455964731,0.37932128
14.0,13392.0,-63.23,210.5,2.0,2.0,13392.0,46.649998,5.5,6.0008258450000005,0.45748025
15.0,13892.0,-51.93,211.0,2.0,2.0,13892.0,57.949997,6.0,6.545996247000001,0.56829536
16.0,14392.0,-41.77,211.5,2.0,2.0,14392.0,68.11,6.5,7.097226185,0.66793096
17.0,14892.0,-31.48,212.0,2.0,2.0,14892.0,78.399994,7.0,7.640063517000001,0.7688414
18.0,15392.0,-23.0,212.5,2.0,2.0,15392.0,86.88,7.5,8.184021727000001,0.8520018
19.0,15892.0,-12.09,213.0,2.0,2.0,15892.0,97.78999,8.0,8.729005703,0.9589923
20.0,16392.0,-1.06,213.5,2.0,2.0,16392.0,108.82,8.5,9.273313671,1.0671597
21.0,16892.0,9.41,214.0,2.0,2.0,16892.0,119.28999,9.0,9.820471172000001,1.1698353
22.0,17392.0,20.42,214.5,2.0,2.0,17392.0,130.3,9.5,10.366675495,1.2778065
23.0,17892.0,30.21,215.0,2.0,2.0,17892.0,140.09,10.0,10.911855522000002,1.3738136
24.0,18392.0,41.71,215.5,2.0,2.0,18392.0,151.59,10.5,11.458873439000001,1.48659
25.0,18892.0,51.55,216.0,2.0,2.0,18892.0,161.43,11.0,12.001502163000001,1.5830874
26.0,19392.0,61.33,216.5,2.0,2.0,19392.0,171.20999,11.5,12.550637351,1.6789966
27.0,19892.0,71.02,217.0,2.0,2.0,19892.0,180.9,12.0,13.094639504000002,1.7740229
28.0,20392.0,83.36,217.5,2.0,2.0,20392.0,193.23999,12.5,13.639703568000002,1.895037
29.0,20892.0,95.12,218.0,2.0,2.0,20892.0,205.0,13.0,14.184051384000002,2.0103633
30.0,21392.0,106.6,218.5,2.0,2.0,21392.0,216.48,13.5,14.731761225000001,2.1229434
31.0,21892.0,118.11,219.0,2.0,2.0,21892.0,227.98999,14.0,15.277521024,2.2358181
32.0,22392.0,131.4,219.5,2.0,2.0,22392.0,241.28,14.5,15.825489895,2.3661485
33.0,22892.0,144.01,220.0,2.0,2.0,22892.0,253.88998,15.0,16.368403901,2.4898102
34.0,23392.0,157.03,220.5,2.0,2.0,23392.0,266.91,15.5,16.9135062,2.617493
35.0,23892.0,165.54,221.0,2.0,2.0,23892.0,275.41998,16.0,17.460848285,2.7009473
36.0,24392.0,176.21,221.5,2.0,2.0,24392.0,286.09,16.5,18.005598289,2.8055844
37.0,24892.0,181.38,222.0,2.0,2.0,24892.0,291.26,17.0,18.551790203,2.8562849
38.0,25392.0,189.89,222.5,2.0,2.0,25392.0,299.77,17.5,19.095730012,2.9397395
39.0,25892.0,199.76,223.0,2.0,2.0,25892.0,309.63998,18.0,19.640446695,3.036531
40.0,26392.0,207.27,223.5,2.0,2.0,26392.0,317.15,18.5,20.188425926,3.110179
41.0,26892.0,217.85,224.0,2.0,2.0,26892.0,327.73,19.0,20.733510545,3.2139335
42.0,27392.0,226.79,224.5,2.0,2.0,27392.0,336.66998,19.5,21.278554666,3.3016047
43.0,27892.0,237.5,225.0,2.0,2.0,27892.0,347.38,20.0,21.825364206,3.406634
44.0,28392.0,247.98,225.5,2.0,2.0,28392.0,357.86,20.5,22.371861884,3.5094078
45.0,28892.0,256.12,226.0,2.0,2.0,28892.0,366.0,21.0,22.916759318,3.5892339
46.0,29392.0,267.53,226.5,2.0,2.0,29392.0,377.41,21.5,23.461510962000002,3.7011278
47.0,29892.0,279.31,227.0,2.0,2.0,29892.0,389.19,22.0,24.006376148,3.81665
48.0,30392.0,288.32,227.5,2.0,2.0,30392.0,398.2,22.5,24.551574274,3.905008
49.0,30892.0,298.59,228.0,2.0,2.0,30892.0,408.47,23.0,25.09995623,4.005722
50.0,31392.0,310.35,228.5,2.0,2.0,31392.0,420.23,23.5,25.644414305,4.1210485
51.0,31892.0,320.79,229.0,2.0,2.0,31892.0,430.67,24.0,26.189578311,4.2234297
52.0,32392.0,328.04,229.5,2.0,2.0,32392.0,437.92,24.5,26.734246174000003,4.294528
53.0,-32644.0,337.76,230.0,2.0,2.0,-32644.0,447.64,25.0,27.282733122000003,4.3898487
54.0,-32144.0,349.33,230.5,2.0,2.0,-32144.0,459.21,25.5,27.828017861000003,4.5033116
55.0,-31644.0,358.3,231.0,2.0,2.0,-31644.0,468.18,26.0,28.372783741000003,4.591277
56.0,-31144.0,369.71,231.5,2.0,2.0,-31144.0,479.59,26.5,28.918562354000002,4.703171
57.0,-30644.0,377.76,232.0,2.0,2.0,-30644.0,487.64,27.0,29.465803145000002,4.782115
58.0,-30144.0,389.67,232.5,2.0,2.0,-30144.0,499.55002,27.5,30.010404746000003,4.898912
59.0,-29644.0,401.36,233.0,2.0,2.0,-29644.0,511.24,28.0,30.555516733,5.0135517
60.0,-29144.0,412.2,233.5,2.0,2.0,-29144.0,522.08,28.5,31.100875268000003,5.119856
61.0,-28644.0,422.24,234.0,2.0,2.0,-28644.0,532.12,29.0,31.648053917000002,5.218314
62.0,-28144.0,430.4,234.5,2.0,2.0,-28144.0,540.27997,29.5,32.193675599,5.2983365
63.0,-27644.0,441.84,235.0,2.0,2.0,-27644.0,551.72,30.0,32.739012853000006,5.410525
64.0,-27144.0,445.27,235.5,2.0,2.0,-27144.0,555.14996,30.5,33.283230579000005,5.4441614
65.0,-26644.0,457.18,236.0,2.0,2.0,-26644.0,567.06,31.0,33.828350613000005,5.560959
66.0,-26144.0,468.36,236.5,2.0,2.0,-26144.0,578.24,31.5,34.376808313000005,5.670597
67.0,-25644.0,478.48,237.0,2.0,2.0,-25644.0,588.36,32.0,34.92496593,5.7698407
68.0,-25144.0,489.61,237.5,2.0,2.0,-25144.0,599.49,32.5,35.467171813,5.8789883
69.0,-24644.0,500.35,238.0,2.0,2.0,-24644.0,610.23,33.0,36.011788161000005,5.984312
70.0,-24144.0,510.52,238.5,2.0,2.0,-24144.0,620.39996,33.5,36.559859121,6.0840454
71.0,-23644.0,516.33,239.0,2.0,2.0,-23644.0,626.21,34.0,37.106808858,6.141022
72.0,-23144.0,528.47,239.5,2.0,2.0,-23144.0,638.35,34.5,37.649533303000005,6.2600746
73.0,-22644.0,538.79,240.0,2.0,2.0,-22644.0,648.67,35.0,38.194324599000005,6.3612795
74.0,-22144.0,549.0,240.5,2.0,2.0,-22144.0,658.88,35.5,38.739413798,6.4614053
75.0,-21644.0,560.56,241.0,2.0,2.0,-21644.0,670.44,36.0,39.287560846000005,6.5747705
76.0,-21144.0,570.7,241.5,2.0,2.0,-21144.0,680.58,36.5,39.832991293,6.67421
77.0,-20644.0,583.9,242.0,2.0,2.0,-20644.0,693.78,37.0,40.380157836,6.8036575
78.0,-20144.0,594.79,242.5,2.0,2.0,-20144.0,704.67,37.5,40.921990226000005,6.910452
79.0,-19644.0,602.76,243.0,2.0,2.0,-19644.0,712.64,38.0,41.470840558000006,6.988611
80.0,-19144.0,615.8,243.5,2.0,2.0,-19144.0,725.68,38.5,42.015798496,7.1164894
81.0,-18644.0,627.83,244.0,2.0,2.0,-18644.0,737.71,39.0,42.560636981,7.2344637
82.0,-18144.0,639.15,244.5,2.0,2.0,-18144.0,749.03,39.5,43.105878989000004,7.345475
83.0,-17644.0,650.87,245.0,2.0,2.0,-17644.0,760.75,40.0,43.650972824,7.4604087
84.0,-17144.0,662.01,245.5,2.0,2.0,-17144.0,771.89,40.5,44.198813187000006,7.569655
85.0,-16644.0,674.67,246.0,2.0,2.0,-16644.0,784.55,41.0,44.743879916000004,7.693807
