Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm),Load (N)
8.0,5212.0,1.75,0.0,800,0.0171616375
9.0,5712.0,10.24,0.5,800,0.100420096
10.0,6212.0,25.07,1.0,800,0.2458527155
11.0,6712.0,36.61,1.5,800,0.3590214565
12.0,7212.0,50.71,2.0,800,0.4972952215
13.0,7712.0,64.09,2.5,800,0.6285081985000001
14.0,8212.0,74.65,3.0,800,0.7320664225000001
15.0,8712.0,90.5,3.5,800,0.887501825
16.0,9212.0,105.04,4.0,800,1.030090516
17.0,9712.0,115.61,4.5,800,1.1337468065
18.0,10212.0,128.62,5.0,800,1.261331323
19.0,10712.0,125.4,5.5,800,1.2297539100000001
20.0,11212.0,140.74,6.0,800,1.380187921
21.0,11712.0,138.79,6.5,800,1.3610649535
22.0,12212.0,158.8,7.0,800,1.5572960200000001
23.0,12712.0,174.13,7.5,800,1.7076319645
24.0,13212.0,189.71,8.0,800,1.8604195715
25.0,13712.0,203.05,8.5,800,1.9912402825000002
26.0,14212.0,193.51,9.0,800,1.8976848414999998
27.0,14712.0,211.76,9.5,800,2.076656204
28.0,15212.0,228.41,10.0,800,2.2399369265
29.0,15712.0,243.24,10.5,800,2.385369546
30.0,16212.0,259.62,11.0,800,2.546002473
31.0,16712.0,273.25,11.5,800,2.6796671125000002
32.0,17212.0,289.87,12.0,800,2.8426536355
33.0,17712.0,305.27,12.5,800,2.9936760455
34.0,18212.0,319.45,13.0,800,3.1327343425
35.0,18712.0,337.7,13.5,800,3.311705705
36.0,19212.0,348.78,14.0,800,3.4203633869999996
37.0,19712.0,364.83,14.5,800,3.5777601194999997
38.0,20212.0,380.36,15.0,800,3.730057394
39.0,20712.0,394.45,15.5,800,3.8682330925
40.0,21212.0,405.06,16.0,800,3.972281649
41.0,21712.0,413.06,16.5,800,4.050734849
42.0,22212.0,431.69,17.0,800,4.2334327385
43.0,22712.0,445.44,17.5,800,4.368274176
44.0,23212.0,455.06,18.0,800,4.462614149
45.0,23712.0,469.26,18.5,800,4.601868579
46.0,24212.0,482.01,19.0,800,4.7269033665
47.0,24712.0,503.91,19.5,800,4.9416690015
48.0,25212.0,517.01,20.0,800,5.0701361165
49.0,25712.0,532.59,20.5,800,5.2229237235
50.0,26212.0,550.59,21.0,800,5.3994434235
51.0,26712.0,554.1,21.5,800,5.433864765
52.0,27212.0,569.78,22.0,800,5.587633037
53.0,27712.0,577.08,22.5,800,5.659221582000001
54.0,28212.0,596.28,23.0,800,5.847509262
55.0,28712.0,614.92,23.5,800,6.030305218
56.0,29212.0,631.09,24.0,800,6.1888787485000005
57.0,29712.0,645.67,24.5,800,6.331859705499999
58.0,30212.0,648.44,25.0,800,6.359024126
59.0,30712.0,661.14,25.5,800,6.483568581
60.0,31212.0,670.06,26.0,800,6.571043898999999
61.0,31712.0,682.47,26.5,800,6.6927444255
62.0,32212.0,701.63,27.0,800,6.8806398395
63.0,32712.0,709.45,27.5,800,6.957327842500001
64.0,-32324.0,726.05,28.0,800,7.120118232499999
65.0,-31824.0,737.75,28.5,800,7.2348560375
66.0,-31324.0,752.39,29.0,800,7.3784253935
67.0,-30824.0,766.59,29.5,800,7.5176798235
68.0,-30324.0,782.75,30.0,800,7.6761552875
69.0,-29824.0,795.91,30.5,800,7.8052108014999995
70.0,-29324.0,814.25,31.0,800,7.9850647625
71.0,-28824.0,820.72,31.5,800,8.048513788000001
72.0,-28324.0,831.34,32.0,800,8.152660411000001
73.0,-27824.0,841.0,32.5,800,8.24739265
74.0,-27324.0,860.85,33.0,800,8.4420546525
75.0,-26824.0,875.0,33.5,800,8.58081875
76.0,-26324.0,875.63,34.0,800,8.5869969395
77.0,-25824.0,876.68,34.5,800,8.597293922
78.0,-25324.0,895.97,35.0,800,8.786464200500001
79.0,-24824.0,918.41,35.5,800,9.0065254265
80.0,-24324.0,930.86,36.0,800,9.128618219
81.0,-23824.0,947.06,36.5,800,9.287485948999999
82.0,-23324.0,964.33,37.0,800,9.4568467945
83.0,-22824.0,969.48,37.5,800,9.507351042
84.0,-22324.0,985.5,38.0,800,9.664453575
85.0,-21824.0,1005.02,38.5,800,9.855879383
