Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm),Load (N)
3.0,31356.0,-108.46,0.0,860,0.0
4.0,31856.0,-108.26,0.5,860,0.0019613300000000944
5.0,32356.0,-108.47,1.0,860,-9.80664999998826e-05
6.0,-32680.0,-108.24,1.5,860,0.0021574630000000816
7.0,-32180.0,-108.12,2.0,860,0.003334261000000005
8.0,-31680.0,-107.79,2.5,860,0.006570455499999905
9.0,-31180.0,-107.96,3.0,860,0.004903325000000125
10.0,-30680.0,-103.18,3.5,860,0.05177911199999996
11.0,-30180.0,-93.98,4.0,860,0.14200029199999997
12.0,-29680.0,-81.38,4.5,860,0.26556408200000003
13.0,-29180.0,-60.09,5.0,860,0.4743476605
14.0,-28680.0,16.33,5.5,860,1.2237718535
15.0,-28180.0,-18.25,6.0,860,0.8846578965
16.0,-27680.0,6.54,6.5,860,1.12776475
17.0,-27180.0,30.43,7.0,860,1.3620456185
18.0,-26680.0,52.17,7.5,860,1.5752421895
19.0,-26180.0,82.03,8.0,860,1.8680687585000002
20.0,-25680.0,108.46,8.5,860,2.127258518
21.0,-25180.0,133.61,9.0,860,2.3738957655000004
22.0,-24680.0,159.44,9.5,860,2.627201535
23.0,-24180.0,188.42,10.0,860,2.9113982519999997
24.0,-23680.0,213.74,10.5,860,3.15970263
25.0,-23180.0,237.25,11.0,860,3.3902569715000004
26.0,-22680.0,266.02,11.5,860,3.672394292
27.0,-22180.0,294.85,12.0,860,3.9551200115
28.0,-21680.0,319.62,12.5,860,4.198030732
29.0,-21180.0,340.35,13.0,860,4.4013225865
30.0,-20680.0,362.42,13.5,860,4.6177553520000005
31.0,-20180.0,385.29,14.0,860,4.8420334375000005
32.0,-19680.0,411.59,14.5,860,5.0999483324999995
33.0,-19180.0,432.81,15.0,860,5.3080454454999995
34.0,-18680.0,454.22,15.5,860,5.518005822
35.0,-18180.0,476.82,16.0,860,5.7396361119999995
36.0,-17680.0,502.05,16.5,860,5.9870578915
37.0,-17180.0,523.27,17.0,860,6.1951550045
38.0,-16680.0,545.08,17.5,860,6.4090380410000005
39.0,-16180.0,566.99,18.0,860,6.6239017425
40.0,-15680.0,592.96,18.5,860,6.878580443000001
41.0,-15180.0,614.07,19.0,860,7.085598824500001
42.0,-14680.0,634.58,19.5,860,7.286733216
43.0,-14180.0,655.94,20.0,860,7.496203260000001
44.0,-13680.0,678.47,20.5,860,7.7171470845000005
45.0,-13180.0,701.6,21.0,860,7.9439748990000005
46.0,-12680.0,722.3,21.5,860,8.146972554
47.0,-12180.0,743.92,22.0,860,8.358992327
48.0,-11680.0,765.18,22.5,860,8.567481706
49.0,-11180.0,789.05,23.0,860,8.8015664415
50.0,-10680.0,810.06,23.5,860,9.007604158
51.0,-10180.0,833.86,24.0,860,9.241002428000002
52.0,-9680.0,855.77,24.5,860,9.4558661295
53.0,-9180.0,880.61,25.0,860,9.699463315500001
54.0,-8680.0,901.76,25.5,860,9.906873963
55.0,-8180.0,922.87,26.0,860,10.1138923445
56.0,-7680.0,945.68,26.5,860,10.337582031
57.0,-7180.0,965.76,27.0,860,10.534499563
58.0,-6680.0,988.2,27.5,860,10.754560789000001
59.0,-6180.0,1009.36,28.0,860,10.962069503
