Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm),Load (N)
2.0,10852.0,21.96,0.0,560,0.0
3.0,11352.0,22.34,0.5,560,0.0037265270000000073
4.0,11852.0,22.4,1.0,560,0.004314925999999997
5.0,12352.0,21.0,1.5,560,-0.009414383999999998
6.0,12852.0,35.67,2.0,560,0.13444917150000005
7.0,13352.0,60.04,2.5,560,0.373437232
8.0,13852.0,71.17,3.0,560,0.4825852465
9.0,14352.0,79.31,3.5,560,0.5624113775
10.0,14852.0,94.19,4.0,560,0.7083343295
11.0,15352.0,107.53,4.5,560,0.8391550405000001
12.0,15852.0,116.64,5.0,560,0.928493622
13.0,16352.0,126.81,5.5,560,1.0282272525
14.0,16852.0,148.2,6.0,560,1.237991496
15.0,17352.0,160.68,6.5,560,1.360378488
16.0,17852.0,168.32,7.0,560,1.435301294
17.0,18352.0,180.47,7.5,560,1.5544520915
18.0,18852.0,196.45,8.0,560,1.7111623585
19.0,19352.0,205.11,8.5,560,1.7960879475
20.0,19852.0,212.88,9.0,560,1.872285618
21.0,20352.0,226.83,9.5,560,2.0090883855
22.0,20852.0,240.68,10.0,560,2.144910488
23.0,21352.0,257.18,10.5,560,2.3067202129999997
24.0,21852.0,271.33,11.0,560,2.4454843104999995
25.0,22352.0,281.15,11.5,560,2.5417856134999997
26.0,22852.0,284.76,12.0,560,2.5771876199999997
27.0,23352.0,301.13,12.5,560,2.7377224805
28.0,23852.0,308.68,13.0,560,2.811762688
29.0,24352.0,309.3,13.5,560,2.817842811
30.0,24852.0,323.32,14.0,560,2.955332044
31.0,25352.0,353.49,14.5,560,3.2511986745
32.0,25852.0,365.38,15.0,560,3.367799743
33.0,26352.0,372.53,15.5,560,3.4379172904999997
34.0,26852.0,382.97,16.0,560,3.5402987165
35.0,27352.0,399.93,16.5,560,3.7066195005
36.0,27852.0,413.46,17.0,560,3.839303475
37.0,28352.0,418.83,17.5,560,3.8919651854999997
38.0,28852.0,429.87,18.0,560,4.0002306015
39.0,29352.0,438.6,18.5,560,4.0858426560000005
40.0,29852.0,453.14,19.0,560,4.228431347
41.0,30352.0,465.9,19.5,560,4.353564201
42.0,30852.0,476.33,20.0,560,4.4558475605000005
43.0,31352.0,482.2,20.5,560,4.513412596
44.0,31852.0,492.47,21.0,560,4.614126891500001
45.0,32352.0,509.42,21.5,560,4.780349609000001
46.0,-32684.0,525.25,22.0,560,4.9355888785
47.0,-32184.0,497.35,22.5,560,4.6619833435
48.0,-31684.0,507.75,23.0,560,4.763972503500001
49.0,-31184.0,521.99,23.5,560,4.9036191995000005
50.0,-30684.0,529.43,24.0,560,4.9765806755
51.0,-30184.0,543.34,24.5,560,5.1129911770000005
52.0,-29684.0,567.12,25.0,560,5.346193314000001
53.0,-29184.0,578.68,25.5,560,5.459558188
54.0,-28684.0,587.38,26.0,560,5.544876043
55.0,-28184.0,590.82,26.5,560,5.578610919000001
56.0,-27684.0,594.59,27.0,560,5.615581989500001
57.0,-27184.0,607.47,27.5,560,5.7418916415000005
58.0,-26684.0,622.12,28.0,560,5.885559064000001
59.0,-26184.0,638.89,28.5,560,6.0500165845
60.0,-25684.0,652.62,29.0,560,6.184661889
61.0,-25184.0,670.8,29.5,560,6.362946786
62.0,-24684.0,680.09,30.0,560,6.454050564500001
63.0,-24184.0,689.38,30.5,560,6.545154343
64.0,-23684.0,696.27,31.0,560,6.6127221615
65.0,-23184.0,715.13,31.5,560,6.7976755805
66.0,-22684.0,727.32,32.0,560,6.917218644000001
67.0,-22184.0,734.94,32.5,560,6.991945317000001
68.0,-21684.0,749.68,33.0,560,7.136495338
69.0,-21184.0,768.55,33.5,560,7.3215468235
70.0,-20684.0,776.64,34.0,560,7.400882622
71.0,-20184.0,787.64,34.5,560,7.508755772
72.0,-19684.0,796.66,35.0,560,7.597211755
73.0,-19184.0,796.76,35.5,560,7.59819242
74.0,-18684.0,819.16,36.0,560,7.817861379999999
75.0,-18184.0,824.91,36.5,560,7.874249617499999
76.0,-17684.0,832.48,37.0,560,7.948485958
77.0,-17184.0,846.87,37.5,560,8.0896036515
78.0,-16684.0,857.99,38.0,560,8.1986535995
79.0,-16184.0,860.29,38.5,560,8.221208894499998
80.0,-15684.0,840.97,39.0,560,8.0317444165
81.0,-15184.0,865.36,39.5,560,8.27092861
82.0,-14684.0,897.1,40.0,560,8.582191681
83.0,-14184.0,904.58,40.5,560,8.655545423
84.0,-13684.0,915.94,41.0,560,8.766948967
85.0,-13184.0,931.39,41.5,560,8.918461709499999
86.0,-12684.0,944.61,42.0,560,9.0481056225
87.0,-12184.0,966.14,42.5,560,9.259242796999999
88.0,-11684.0,967.93,43.0,560,9.276796700499998
89.0,-11184.0,969.68,43.5,560,9.293958338
