Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm),Load (N)
2.0,-13644.0,-108.35,0.0,885,0.0
3.0,-13144.0,-106.16,0.5,885,0.021476563500000045
4.0,-12644.0,-105.85,1.0,885,0.02451662499999996
5.0,-12144.0,-103.93,1.5,885,0.04334539299999984
6.0,-11644.0,-94.77,2.0,885,0.133174307
7.0,-11144.0,-88.38,2.5,885,0.19583880050000002
8.0,-10644.0,-82.52,3.0,885,0.25330576950000006
9.0,-10144.0,-80.44,3.5,885,0.27370360150000006
10.0,-9644.0,-73.0,4.0,885,0.3466650775
11.0,-9144.0,-66.65,4.5,885,0.4089373049999999
12.0,-8644.0,-63.24,5.0,885,0.44237798149999996
13.0,-8144.0,-59.34,5.5,885,0.4806239164999999
14.0,-7644.0,-54.58,6.0,885,0.5273035705
15.0,-7144.0,-47.3,6.5,885,0.5986959825
16.0,-6644.0,-43.33,7.0,885,0.637628383
17.0,-6144.0,-39.44,7.5,885,0.6757762515000001
18.0,-5644.0,-36.53,8.0,885,0.704313603
19.0,-5144.0,-28.27,8.5,885,0.785316532
20.0,-4644.0,-23.65,9.0,885,0.830623255
21.0,-4144.0,-18.79,9.5,885,0.878283574
22.0,-3644.0,-13.01,10.0,885,0.934966011
23.0,-3144.0,-5.39,10.5,885,1.009692684
24.0,-2644.0,1.39,11.0,885,1.076181771
25.0,-2144.0,6.45,11.5,885,1.12580342
26.0,-1644.0,12.65,12.0,885,1.18660465
27.0,-1144.0,22.0,12.5,885,1.2782968275
28.0,-644.0,27.66,13.0,885,1.3338024665
29.0,-144.0,34.92,13.5,885,1.4049987455
30.0,356.0,38.48,14.0,885,1.4399104194999999
31.0,856.0,42.18,14.5,885,1.4761950245
32.0,1356.0,52.58,15.0,885,1.5781841845
33.0,1856.0,46.78,15.5,885,1.5213056145000001
34.0,2356.0,52.18,16.0,885,1.5742615245
35.0,2856.0,57.28,16.5,885,1.6242754394999999
36.0,3356.0,65.61,17.0,885,1.705964834
37.0,3856.0,71.71,17.5,885,1.7657853989999999
38.0,4356.0,76.06,18.0,885,1.8084443265
39.0,4856.0,79.45,18.5,885,1.84168887
40.0,5356.0,85.15,19.0,885,1.8975867750000002
41.0,5856.0,90.27,19.5,885,1.947796823
42.0,6356.0,96.16,20.0,885,2.0055579915
43.0,6856.0,95.69,20.5,885,2.000948866
44.0,7356.0,102.6,21.0,885,2.0687128175
45.0,7856.0,105.62,21.5,885,2.0983289005000003
46.0,8356.0,116.31,22.0,885,2.203161989
47.0,8856.0,121.98,22.5,885,2.2587656945
48.0,9356.0,130.54,23.0,885,2.3427106185
49.0,9856.0,131.5,23.5,885,2.3521250025000002
50.0,10356.0,138.35,24.0,885,2.419300555
51.0,10856.0,142.67,24.5,885,2.461665283
52.0,11356.0,150.67,25.0,885,2.5401184829999996
53.0,11856.0,157.25,25.5,885,2.60464624
54.0,12356.0,165.44,26.0,885,2.6849627035
55.0,12856.0,169.37,26.5,885,2.723502838
56.0,13356.0,174.17,27.0,885,2.770574758
57.0,13856.0,182.27,27.5,885,2.850008623
58.0,14356.0,189.84,28.0,885,2.9242449635
59.0,14856.0,194.47,28.5,885,2.969649753
60.0,15356.0,199.22,29.0,885,3.0162313405
61.0,15856.0,207.05,29.5,885,3.0930174100000003
62.0,16356.0,214.97,30.0,885,3.170686078
63.0,16856.0,222.76,30.5,885,3.2470798815
64.0,17356.0,229.2,31.0,885,3.3102347075
65.0,17856.0,236.9,31.5,885,3.3857459125
66.0,18356.0,244.39,32.0,885,3.459197721
67.0,18856.0,252.34,32.5,885,3.5371605885
68.0,19356.0,258.75,33.0,885,3.600021215
69.0,19856.0,263.73,33.5,885,3.648858332
70.0,20356.0,271.35,34.0,885,3.7235850050000003
71.0,20856.0,279.01,34.5,885,3.798703944
72.0,21356.0,286.49,35.0,885,3.872057686
73.0,21856.0,294.1,35.5,885,3.9466862925000004
74.0,22356.0,301.03,36.0,885,4.014646377
75.0,22856.0,307.09,36.5,885,4.074074676
76.0,23356.0,314.86,37.0,885,4.1502723464999995
77.0,23856.0,321.13,37.5,885,4.211760042
78.0,24356.0,329.5,38.0,885,4.2938417025
79.0,24856.0,337.64,38.5,885,4.3736678335
80.0,25356.0,345.7,39.0,885,4.4527094325
81.0,25856.0,350.73,39.5,885,4.5020368820000005
82.0,26356.0,356.89,40.0,885,4.562445845999999
83.0,26856.0,361.34,40.5,885,4.606085438499999
84.0,27356.0,369.72,41.0,885,4.688265165500001
85.0,27856.0,372.61,41.5,885,4.716606384
86.0,28356.0,381.01,42.0,885,4.798982243999999
87.0,28856.0,386.13,42.5,885,4.849192292
88.0,29356.0,396.32,43.0,885,4.9491220555
89.0,29856.0,405.91,43.5,885,5.043167829
