Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm),Load (N)
2.0,-14288.0,-36.94,0.0,1085,0.0
3.0,-13788.0,-36.4,0.5,1085,0.005295590999999988
4.0,-13288.0,-35.26,1.0,1085,0.016475171999999982
5.0,-12788.0,-32.49,1.5,1085,0.043639592499999935
6.0,-12288.0,-37.17,2.0,1085,-0.0022555295000000752
7.0,-11788.0,-37.49,2.5,1085,-0.0053936575000000375
8.0,-11288.0,-38.92,3.0,1085,-0.01941716700000007
9.0,-10788.0,-31.23,3.5,1085,0.055995971499999964
10.0,-10288.0,-8.9,4.0,1085,0.274978466
11.0,-9788.0,-6.43,4.5,1085,0.29920089149999995
12.0,-9288.0,15.74,5.0,1085,0.5166143219999999
13.0,-8788.0,24.6,5.5,1085,0.603501241
14.0,-8288.0,29.85,6.0,1085,0.6549861535
15.0,-7788.0,35.1,6.5,1085,0.706471066
16.0,-7288.0,46.58,7.0,1085,0.819051408
17.0,-6788.0,63.41,7.5,1085,0.9840973274999999
18.0,-6288.0,75.68,8.0,1085,1.104424923
19.0,-5788.0,82.45,8.5,1085,1.1708159435
20.0,-5288.0,70.77,9.0,1085,1.0562742715
21.0,-4788.0,82.04,9.5,1085,1.166795217
22.0,-4288.0,89.98,10.0,1085,1.244660018
23.0,-3788.0,106.44,10.5,1085,1.406077477
24.0,-3288.0,122.11,11.0,1085,1.5597476825
25.0,-2788.0,131.45,11.5,1085,1.6513417934999999
26.0,-2288.0,139.25,12.0,1085,1.7278336635
27.0,-1788.0,161.6,12.5,1085,1.9470122909999998
28.0,-1288.0,147.16,13.0,1085,1.805404265
29.0,-788.0,155.91,13.5,1085,1.8912124525
30.0,-288.0,136.01,14.0,1085,1.6960601174999999
31.0,212.0,155.66,14.5,1085,1.8887607899999999
32.0,712.0,172.44,15.0,1085,2.053316377
33.0,1212.0,187.72,15.5,1085,2.203161989
34.0,1712.0,214.39,16.0,1085,2.4647053444999996
35.0,2212.0,219.61,16.5,1085,2.5158960575
36.0,2712.0,239.55,17.0,1085,2.7114406585
37.0,3212.0,240.67,17.5,1085,2.7224241065
38.0,3712.0,257.55,18.0,1085,2.8879603585
39.0,4212.0,286.44,18.5,1085,3.171274477
40.0,4712.0,292.42,19.0,1085,3.2299182440000003
41.0,5212.0,305.34,19.5,1085,3.3566201619999996
42.0,5712.0,313.02,20.0,1085,3.431935234
43.0,6212.0,325.35,20.5,1085,3.5528512285
44.0,6712.0,340.46,21.0,1085,3.7010297099999994
45.0,7212.0,352.94,21.5,1085,3.8234167020000003
46.0,7712.0,372.22,22.0,1085,4.012488914
47.0,8212.0,383.63,22.5,1085,4.1243827905
48.0,8712.0,395.05,23.0,1085,4.2363747335
49.0,9212.0,418.31,23.5,1085,4.4644774125
50.0,9712.0,431.49,24.0,1085,4.5937290595
51.0,10212.0,436.87,24.5,1085,4.6464888365000006
52.0,10712.0,443.0,25.0,1085,4.706603601
53.0,11212.0,453.37,25.5,1085,4.8082985615
54.0,11712.0,449.21,26.0,1085,4.7675028975
55.0,12212.0,447.14,26.5,1085,4.747203132
56.0,12712.0,462.14,27.0,1085,4.894302882
57.0,13212.0,473.74,27.5,1085,5.0080600220000004
58.0,13712.0,467.98,28.0,1085,4.951573718000001
59.0,14212.0,468.28,28.5,1085,4.954515713
60.0,14712.0,495.6,29.0,1085,5.222433391
61.0,15212.0,478.02,29.5,1085,5.050032484
62.0,15712.0,491.03,30.0,1085,5.1776170005
63.0,16212.0,540.2,30.5,1085,5.659809981
64.0,16712.0,563.2,31.0,1085,5.885362931
65.0,17212.0,547.07,31.5,1085,5.727181666500001
66.0,17712.0,474.61,32.0,1085,5.0165918075
67.0,18212.0,499.63,32.5,1085,5.2619541905
68.0,18712.0,511.12,33.0,1085,5.374632599
69.0,19212.0,526.59,33.5,1085,5.526341474500001
70.0,19712.0,540.61,34.0,1085,5.663830707500001
71.0,20212.0,518.3,34.5,1085,5.4450443459999995
72.0,20712.0,511.72,35.0,1085,5.380516589000001
73.0,21212.0,541.56,35.5,1085,5.673147025
74.0,21712.0,543.1,36.0,1085,5.688249266000001
75.0,22212.0,524.14,36.5,1085,5.502315182
76.0,22712.0,519.84,37.0,1085,5.4601465870000006
77.0,23212.0,540.58,37.5,1085,5.663536508000001
78.0,23712.0,523.45,38.0,1085,5.495548593500001
79.0,24212.0,481.3,38.5,1085,5.0821982960000005
80.0,24712.0,501.63,39.0,1085,5.2815674905000005
81.0,25212.0,527.25,39.5,1085,5.5328138635
82.0,25712.0,537.28,40.0,1085,5.631174563
83.0,26212.0,556.65,40.5,1085,5.8211293735
84.0,26712.0,570.55,41.0,1085,5.9574418085
85.0,27212.0,561.24,41.5,1085,5.866141897
86.0,27712.0,585.01,42.0,1085,6.0992459675
87.0,28212.0,609.06,42.5,1085,6.3350959
88.0,28712.0,602.15,43.0,1085,6.2673319485
89.0,29212.0,633.16,43.5,1085,6.571436165
