Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm),Load (N)
2.0,28140.0,-54.63,0.0,700,0.0
3.0,28640.0,-52.18,0.5,700,0.02402629249999999
4.0,29140.0,-54.81,1.0,700,-0.0017651969999999961
5.0,29640.0,-53.9,1.5,700,0.007158854499999978
6.0,30140.0,-54.21,2.0,700,0.004118792999999954
7.0,30640.0,-53.04,2.5,700,0.015592573499999984
8.0,31140.0,-53.49,3.0,700,0.011179580999999938
9.0,31640.0,-52.01,3.5,700,0.025693422999999993
10.0,32140.0,-52.44,4.0,700,0.021476563500000045
11.0,32640.0,-46.34,4.5,700,0.08129712849999993
12.0,-32396.0,-13.78,5.0,700,0.4006016525
13.0,-31896.0,18.94,5.5,700,0.7214752405
14.0,-31396.0,51.47,6.0,700,1.040485565
15.0,-30896.0,88.55,6.5,700,1.4041161469999999
16.0,-30396.0,123.97,7.0,700,1.7514676900000001
17.0,-29896.0,161.01,7.5,700,2.114706006
18.0,-29396.0,184.57,8.0,700,2.34575068
19.0,-28896.0,201.77,8.5,700,2.51442506
20.0,-28396.0,221.7,9.0,700,2.7098715945
21.0,-27896.0,232.48,9.5,700,2.8155872815
22.0,-27396.0,240.48,10.0,700,2.8940404815
23.0,-26896.0,237.6,10.5,700,2.8657973295
24.0,-26396.0,248.61,11.0,700,2.973768546
25.0,-25896.0,258.28,11.5,700,3.0685988515
26.0,-25396.0,266.07,12.0,700,3.1449926550000002
27.0,-24896.0,275.72,12.5,700,3.2396268275000004
28.0,-24396.0,285.34,13.0,700,3.3339668005
29.0,-23896.0,293.61,13.5,700,3.415067796
30.0,-23396.0,307.45,14.0,700,3.550791832
31.0,-22896.0,321.13,14.5,700,3.684946804
32.0,-22396.0,340.86,15.0,700,3.8784320085000004
33.0,-21896.0,341.06,15.5,700,3.8803933385000002
34.0,-21396.0,358.87,16.0,700,4.055049775
35.0,-20896.0,365.57,16.5,700,4.12075433
36.0,-20396.0,375.94,17.0,700,4.2224492905
37.0,-19896.0,372.14,17.5,700,4.1851840204999995
38.0,-19396.0,382.62,18.0,700,4.2879577125
39.0,-18896.0,394.98,18.5,700,4.4091679065000005
40.0,-18396.0,404.78,19.0,700,4.5052730765
41.0,-17896.0,419.79,19.5,700,4.652470893
42.0,-17396.0,427.0,20.0,700,4.7231768395
43.0,-16896.0,448.58,20.5,700,4.9348043465
44.0,-16396.0,463.51,21.0,700,5.081217631
45.0,-15896.0,479.29,21.5,700,5.235966568
46.0,-15396.0,493.46,22.0,700,5.3749267985
47.0,-14896.0,515.39,22.5,700,5.589986633
48.0,-14396.0,537.17,23.0,700,5.80357547
49.0,-13896.0,556.16,23.5,700,5.9898037534999995
50.0,-13396.0,577.1,24.0,700,6.1951550045
51.0,-12896.0,595.2,24.5,700,6.3726553695
52.0,-12396.0,623.95,25.0,700,6.6545965570000005
53.0,-11896.0,651.96,25.5,700,6.9292808235
54.0,-11396.0,673.6,26.0,700,7.1414967295
55.0,-10896.0,698.95,26.5,700,7.390095307
56.0,-10396.0,722.84,27.0,700,7.6243761755
57.0,-9896.0,743.7,27.5,700,7.828942894500001
58.0,-9396.0,773.08,28.0,700,8.1170622715
59.0,-8896.0,797.04,28.5,700,8.352029605499999
60.0,-8396.0,822.01,29.0,700,8.596901656
61.0,-7896.0,847.02,29.5,700,8.8421659725
62.0,-7396.0,871.88,30.0,700,9.0859592915
63.0,-6896.0,897.15,30.5,700,9.333773337
64.0,-6396.0,923.05,31.0,700,9.587765572
65.0,-5896.0,949.79,31.5,700,9.849995393
66.0,-5396.0,975.12,32.0,700,10.0983978375
67.0,-4896.0,1001.77,32.5,700,10.35974506
