Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm),Load (N)
2.0,27996.0,-17.78,0.0,595,0.0
3.0,28496.0,-18.07,0.5,595,-0.002843928500000009
4.0,28996.0,-3.06,1.0,595,0.144353888
5.0,29496.0,22.38,1.5,595,0.393835064
6.0,29996.0,49.3,2.0,595,0.6578300819999999
7.0,30496.0,76.59,2.5,595,0.9254535605
8.0,30996.0,106.0,3.0,595,1.213867137
9.0,31496.0,135.76,3.5,595,1.505713041
10.0,31996.0,167.38,4.0,595,1.815799314
11.0,32496.0,199.55,4.5,595,2.1312792445000004
12.0,-32540.0,233.14,5.0,595,2.4606846179999997
13.0,-32040.0,265.25,5.5,595,2.7755761495
14.0,-31540.0,295.41,6.0,595,3.0713447135000003
15.0,-31040.0,328.63,6.5,595,3.3971216265
16.0,-30540.0,348.08,7.0,595,3.587860969
17.0,-30040.0,383.13,7.5,595,3.9315840515
18.0,-29540.0,417.31,8.0,595,4.2667753485
19.0,-29040.0,449.08,8.5,595,4.578332619
20.0,-28540.0,448.4,9.0,595,4.571664097
21.0,-28040.0,479.9,9.5,595,4.880573572
22.0,-27540.0,513.86,10.0,595,5.213607406
23.0,-27040.0,545.11,10.5,595,5.520065218500001
24.0,-26540.0,564.45,11.0,595,5.709725829500001
25.0,-26040.0,589.52,11.5,595,5.955578545000001
26.0,-25540.0,618.61,12.0,595,6.240853993500001
27.0,-25040.0,646.45,12.5,595,6.513871129500001
28.0,-24540.0,674.34,13.0,595,6.787378598000001
29.0,-24040.0,694.86,13.5,595,6.988611056000001
30.0,-23540.0,719.25,14.0,595,7.227795249500001
31.0,-23040.0,746.17,14.5,595,7.4917902675
32.0,-22540.0,782.79,15.0,595,7.8509097905
33.0,-22040.0,809.69,15.5,595,8.114708675500001
34.0,-21540.0,841.83,16.0,595,8.4298944065
35.0,-21040.0,870.97,16.5,595,8.715660187500001
36.0,-20540.0,889.37,17.0,595,8.8961025475
37.0,-20040.0,899.22,17.5,595,8.992698050000001
38.0,-19540.0,901.41,18.0,595,9.0141746135
39.0,-19040.0,914.7,18.5,595,9.144504992000002
40.0,-18540.0,931.68,19.0,595,9.311021909
41.0,-18040.0,950.98,19.5,595,9.500290254000001
42.0,-17540.0,971.8,20.0,595,9.704464707
43.0,-17040.0,981.86,20.5,595,9.803119606000001
44.0,-16540.0,995.46,21.0,595,9.936490046000001
45.0,-16040.0,1009.91,21.5,595,10.078196138500001
