Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm),Load (N)
2.0,-20536.0,3.3,0.0,915,0.0
3.0,-20036.0,3.83,0.5,915,0.005197524500000002
4.0,-19536.0,4.18,1.0,915,0.008629852
5.0,-19036.0,3.28,1.5,915,-0.0001961330000000011
6.0,-18536.0,4.44,2.0,915,0.011179581000000008
7.0,-18036.0,4.26,2.5,915,0.009414384000000005
8.0,-17536.0,5.24,3.0,915,0.019024901000000004
9.0,-17036.0,5.92,3.5,915,0.025693423000000007
10.0,-16536.0,7.2,4.0,915,0.038245935
11.0,-16036.0,7.72,4.5,915,0.043345393
12.0,-15536.0,8.92,5.0,915,0.055113373
13.0,-15036.0,10.0,5.5,915,0.065704555
14.0,-14536.0,10.36,6.0,915,0.06923494899999999
15.0,-14036.0,11.18,6.5,915,0.077276402
16.0,-13536.0,12.21,7.0,915,0.0873772515
17.0,-13036.0,12.32,7.5,915,0.08845598300000002
18.0,-12536.0,13.3,8.0,915,0.0980665
19.0,-12036.0,14.57,8.5,915,0.1105209455
20.0,-11536.0,15.59,9.0,915,0.12052372850000001
21.0,-11036.0,16.31,9.5,915,0.1275845165
22.0,-10536.0,17.74,10.0,915,0.14160802599999997
23.0,-10036.0,18.4,10.5,915,0.148080415
24.0,-9536.0,19.48,11.0,915,0.158671597
25.0,-9036.0,19.73,11.5,915,0.1611232595
26.0,-8536.0,20.67,12.0,915,0.17034151050000002
27.0,-8036.0,21.58,12.5,915,0.179265562
28.0,-7536.0,22.5,13.0,915,0.18828768
29.0,-7036.0,23.83,13.5,915,0.20133052449999997
30.0,-6536.0,25.32,14.0,915,0.215942433
31.0,-6036.0,25.89,14.5,915,0.22153222350000001
32.0,-5536.0,26.87,15.0,915,0.2311427405
33.0,-5036.0,27.63,15.5,915,0.2385957945
34.0,-4536.0,28.69,16.0,915,0.2489908435
35.0,-4036.0,30.66,16.5,915,0.268309944
36.0,-3536.0,30.87,17.0,915,0.2703693405
37.0,-3036.0,31.15,17.5,915,0.2731152025
38.0,-2536.0,32.68,18.0,915,0.288119377
39.0,-2036.0,33.36,18.5,915,0.294787899
40.0,-1536.0,35.39,19.0,915,0.3146953985
41.0,-1036.0,35.11,19.5,915,0.3119495365
42.0,-536.0,36.02,20.0,915,0.32087358800000004
43.0,-36.0,37.0,20.5,915,0.33048410500000003
44.0,464.0,37.52,21.0,915,0.33558356300000003
45.0,964.0,38.15,21.5,915,0.34176175249999996
46.0,1464.0,38.57,22.0,915,0.3458805455
47.0,1964.0,39.69,22.5,915,0.3568639935
48.0,2464.0,41.11,23.0,915,0.3707894365
49.0,2964.0,41.99,23.5,915,0.3794192885
50.0,3464.0,42.15,24.0,915,0.38098835249999996
51.0,3964.0,43.79,24.5,915,0.39707125849999997
52.0,4464.0,44.09,25.0,915,0.40001325350000005
53.0,4964.0,45.0,25.5,915,0.40893730500000003
54.0,5464.0,46.56,26.0,915,0.42423567900000003
55.0,5964.0,47.71,26.5,915,0.4355133265
56.0,6464.0,47.86,27.0,915,0.436984324
57.0,6964.0,48.34,27.5,915,0.44169151600000006
58.0,7464.0,49.36,28.0,915,0.451694299
59.0,7964.0,48.77,28.5,915,0.4459083755
60.0,8464.0,49.99,29.0,915,0.4578724885
61.0,8964.0,52.08,29.5,915,0.47836838699999995
62.0,9464.0,53.74,30.0,915,0.494647426
63.0,9964.0,53.13,30.5,915,0.48866536950000006
64.0,10464.0,55.26,31.0,915,0.509553534
65.0,10964.0,55.94,31.5,915,0.5162220559999999
66.0,11464.0,57.06,32.0,915,0.527205504
67.0,11964.0,58.64,32.5,915,0.542700011
68.0,12464.0,56.96,33.0,915,0.526224839
69.0,12964.0,59.63,33.5,915,0.5524085945
70.0,13464.0,59.66,34.0,915,0.552702794
71.0,13964.0,60.17,34.5,915,0.5577041855
72.0,14464.0,61.07,35.0,915,0.5665301705
73.0,14964.0,62.1,35.5,915,0.57663102
74.0,15464.0,62.78,36.0,915,0.583299542
75.0,15964.0,63.87,36.5,915,0.5939887905
76.0,16464.0,64.66,37.0,915,0.6017360439999999
77.0,16964.0,65.64,37.5,915,0.611346561
78.0,17464.0,66.58,38.0,915,0.620564812
79.0,17964.0,67.84,38.5,915,0.632921191
80.0,18464.0,68.47,39.0,915,0.6390993805
81.0,18964.0,69.43,39.5,915,0.6485137645000001
82.0,19464.0,70.35,40.0,915,0.6575358825
83.0,19964.0,70.96,40.5,915,0.6635179389999999
84.0,20464.0,71.92,41.0,915,0.672932323
85.0,20964.0,73.01,41.5,915,0.6836215715
86.0,21464.0,73.94,42.0,915,0.692741756
87.0,21964.0,78.43,42.5,915,0.7367736145000001
88.0,22464.0,70.11,43.0,915,0.6551822865
89.0,22964.0,69.91,43.5,915,0.6532209565
