Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm),Load (N)
2.0,-20824.0,-67.33,0.0,715,0.0
3.0,-20324.0,-67.39,0.5,715,-0.0005883990000000727
4.0,-19824.0,-62.82,1.0,715,0.04422799150000001
5.0,-19324.0,-62.2,1.5,715,0.050308114499999945
6.0,-18824.0,-62.81,2.0,715,0.044326058
7.0,-18324.0,-34.55,2.5,715,0.321461987
8.0,-17824.0,-8.64,3.0,715,0.5755522885
9.0,-17324.0,13.12,3.5,715,0.7889449924999999
10.0,-16824.0,34.46,4.0,715,0.9982189035
11.0,-16324.0,61.18,4.5,715,1.2602525915
12.0,-15824.0,80.57,5.0,715,1.450403535
13.0,-15324.0,107.23,5.5,715,1.711848824
14.0,-14824.0,131.24,6.0,715,1.9473064905000002
15.0,-14324.0,150.73,6.5,715,2.138438099
16.0,-13824.0,175.9,7.0,715,2.3852714795
17.0,-13324.0,194.78,7.5,715,2.5704210315
18.0,-12824.0,219.12,8.0,715,2.8091148925000002
19.0,-12324.0,241.84,8.5,715,3.0319219805
20.0,-11824.0,266.58,9.0,715,3.2745385014999995
21.0,-11324.0,292.77,9.5,715,3.5313746649999995
22.0,-10824.0,316.33,10.0,715,3.762419339
23.0,-10324.0,343.02,10.5,715,4.0241588275
24.0,-9824.0,368.34,11.0,715,4.272463205499999
25.0,-9324.0,392.03,11.5,715,4.504782744
26.0,-8824.0,414.06,12.0,715,4.7208232435
27.0,-8324.0,432.15,12.5,715,4.898225542
28.0,-7824.0,450.33,13.0,715,5.076510439
29.0,-7324.0,475.41,13.5,715,5.322461221
30.0,-6824.0,497.79,14.0,715,5.541934048
31.0,-6324.0,525.21,14.5,715,5.810832391
32.0,-5824.0,543.07,15.0,715,5.98597916
33.0,-5324.0,558.79,15.5,715,6.140139698
34.0,-4824.0,584.69,16.0,715,6.394131933000001
35.0,-4324.0,602.91,16.5,715,6.572809095999999
36.0,-3824.0,624.16,17.0,715,6.781200408499999
37.0,-3324.0,647.97,17.5,715,7.014696745
38.0,-2824.0,654.64,18.0,715,7.080107100499999
39.0,-2324.0,667.1,18.5,715,7.2022979595
40.0,-1824.0,700.07,19.0,715,7.52562321
41.0,-1324.0,736.75,19.5,715,7.885331132
42.0,-824.0,766.24,20.0,715,8.1745292405
43.0,-324.0,801.3,20.5,715,8.5183503895
44.0,176.0,815.27,21.0,715,8.65534929
45.0,676.0,846.79,21.5,715,8.964454898
46.0,1176.0,884.82,22.0,715,9.337401797500002
47.0,1676.0,920.46,22.5,715,9.686910803500002
48.0,2176.0,944.8,23.0,715,9.9256046645
49.0,2676.0,974.09,23.5,715,10.212841443
50.0,3176.0,995.73,24.0,715,10.425057349000001
51.0,3676.0,1018.73,24.5,715,10.650610299
