Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm),Load (N)
3.0,-9324.0,-40.59,0.0,690,0.0
4.0,-8824.0,-41.46,0.5,690,-0.0085317855
5.0,-8324.0,-12.04,1.0,690,0.27997985750000004
6.0,-7824.0,21.11,1.5,690,0.605070305
7.0,-7324.0,55.28,2.0,690,0.9401635355
8.0,-6824.0,128.18,2.5,690,1.6550683205
9.0,-6324.0,194.52,3.0,690,2.3056414815000004
10.0,-5824.0,211.06,3.5,690,2.4678434725000002
11.0,-5324.0,257.7,4.0,690,2.9252256285000002
12.0,-4824.0,325.12,4.5,690,3.5863899715
13.0,-4324.0,395.1,5.0,690,4.2726593385000005
14.0,-3824.0,462.71,5.5,690,4.935686945
15.0,-3324.0,523.0,6.0,690,5.526929873499999
16.0,-2824.0,615.33,6.5,690,6.4323778680000006
17.0,-2324.0,682.41,7.0,690,7.09020795
18.0,-1824.0,773.26,7.5,690,7.9811421025
19.0,-1324.0,827.37,8.0,690,8.511779934000002
20.0,-824.0,893.35,8.5,690,9.158822701
21.0,-324.0,955.75,9.0,690,9.770757661000001
22.0,176.0,1029.32,9.5,690,10.4922329015
