Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm),Load (N)
2.0,25568.0,-9.73,0.0,590,0.0
3.0,26068.0,-10.67,0.5,590,-0.009218250999999997
4.0,26568.0,2.23,1.0,590,0.117287534
5.0,27068.0,9.82,1.5,590,0.1917200075
6.0,27568.0,14.72,2.0,590,0.23977259250000002
7.0,28068.0,19.16,2.5,590,0.2833141185
8.0,28568.0,32.12,3.0,590,0.4104083025
9.0,29068.0,37.62,3.5,590,0.4643448775
10.0,29568.0,46.87,4.0,590,0.5550563900000001
11.0,30068.0,62.11,4.5,590,0.704509736
12.0,30568.0,71.35,5.0,590,0.795123182
13.0,31068.0,82.52,5.5,590,0.9046634625
14.0,31568.0,94.51,6.0,590,1.022245196
15.0,32068.0,106.39,6.5,590,1.138748198
16.0,32568.0,113.1,7.0,590,1.2045508195
17.0,-32468.0,123.15,7.5,590,1.303107652
18.0,-31968.0,134.56,8.0,590,1.4150015285
19.0,-31468.0,141.17,8.5,590,1.4798234849999998
20.0,-30968.0,152.37,9.0,590,1.5896579650000002
21.0,-30468.0,163.62,9.5,590,1.6999827775000003
22.0,-29968.0,177.5,10.0,590,1.8360990794999998
23.0,-29468.0,185.42,10.5,590,1.9137677475000001
24.0,-28968.0,192.44,11.0,590,1.9826104304999999
25.0,-28468.0,198.45,11.5,590,2.041548397
26.0,-27968.0,207.96,12.0,590,2.1348096385
27.0,-27468.0,216.58,12.5,590,2.2193429615
28.0,-26968.0,229.52,13.0,590,2.3462410125
29.0,-26468.0,239.29,13.5,590,2.4420519830000003
30.0,-25968.0,246.89,14.0,590,2.516582523
31.0,-25468.0,253.88,14.5,590,2.5851310065
32.0,-24968.0,264.1,15.0,590,2.6853549695000005
33.0,-24468.0,273.11,15.5,590,2.773712886
34.0,-23968.0,284.27,16.0,590,2.8831550999999997
35.0,-23468.0,295.3,16.5,590,2.9913224495
36.0,-22968.0,305.27,17.0,590,3.08909475
37.0,-22468.0,315.08,17.5,590,3.1852979865
38.0,-21968.0,326.93,18.0,590,3.3015067890000003
39.0,-21468.0,340.35,18.5,590,3.4331120320000004
40.0,-20968.0,351.79,19.0,590,3.545300108
41.0,-20468.0,361.2,19.5,590,3.6375806845
42.0,-19968.0,374.87,20.0,590,3.77163759
43.0,-19468.0,387.14,20.5,590,3.8919651855
44.0,-18968.0,399.41,21.0,590,4.012292781
45.0,-18468.0,411.91,21.5,590,4.134875906
46.0,-17968.0,419.45,22.0,590,4.208818047
47.0,-17468.0,428.09,22.5,590,4.293547503
48.0,-16968.0,439.98,23.0,590,4.410148571500001
49.0,-16468.0,452.39,23.5,590,4.531849098
50.0,-15968.0,464.66,24.0,590,4.6521766935
51.0,-15468.0,475.85,24.5,590,4.761913107000001
52.0,-14968.0,487.19,25.0,590,4.873120518
53.0,-14468.0,497.69,25.5,590,4.976090343
54.0,-13968.0,507.63,26.0,590,5.073568444
55.0,-13468.0,515.99,26.5,590,5.155552038000001
56.0,-12968.0,528.73,27.0,590,5.280488759000001
57.0,-12468.0,538.08,27.5,590,5.3721809365
58.0,-11968.0,547.97,28.0,590,5.469168705
59.0,-11468.0,553.19,28.5,590,5.520359418000001
60.0,-10968.0,564.18,29.0,590,5.6281345015
61.0,-10468.0,578.19,29.5,590,5.765525668
62.0,-9968.0,590.85,30.0,590,5.889677857000001
63.0,-9468.0,601.65,30.5,590,5.995589677
64.0,-8968.0,610.98,31.0,590,6.0870857215
65.0,-8468.0,622.37,31.5,590,6.198783465
66.0,-7968.0,634.6,32.0,590,6.3187187945000005
67.0,-7468.0,644.68,32.5,590,6.417569826499999
68.0,-6968.0,653.41,33.0,590,6.503181881
69.0,-6468.0,665.86,33.5,590,6.6252746735
70.0,-5968.0,674.34,34.0,590,6.708435065500001
71.0,-5468.0,685.97,34.5,590,6.822486405
72.0,-4968.0,696.09,35.0,590,6.9217297030000005
73.0,-4468.0,705.56,35.5,590,7.0145986785
74.0,-3968.0,719.02,36.0,590,7.1465961875
75.0,-3468.0,729.67,36.5,590,7.25103701
76.0,-2968.0,740.93,37.0,590,7.361459889
77.0,-2468.0,751.36,37.5,590,7.4637432485
78.0,-1968.0,762.03,38.0,590,7.568380204
79.0,-1468.0,772.68,38.5,590,7.672821026499999
80.0,-968.0,782.71,39.0,590,7.771181726000001
81.0,-468.0,793.0,39.5,590,7.8720921545
82.0,32.0,804.15,40.0,590,7.981436302
83.0,532.0,816.3,40.5,590,8.1005870995
84.0,1032.0,823.89,41.0,590,8.175019573
85.0,1532.0,834.85,41.5,590,8.282500457000001
86.0,2032.0,845.16,42.0,590,8.3836070185
87.0,2532.0,856.58,42.5,590,8.4955989615
88.0,3032.0,868.27,43.0,590,8.6102387
89.0,3532.0,877.27,43.5,590,8.69849855
