-228.00000000,-461.00000000,588.00000000
-225.79544067,-456.93890381,590.32055664
-223.26107788,-452.24218750,593.01037598
-222.10627747,-450.09075928,594.24493408
-220.15206909,-446.43856812,596.34307861
-219.63183594,-445.45953369,596.90692139
-218.00491333,-442.38604736,598.67950439
-217.13064575,-440.73065186,599.63500977
-215.84329224,-438.28613281,601.04742432
-215.61413574,-437.84622192,601.30255127
-214.51788330,-435.72958374,602.53277588
-213.80741882,-434.35522461,603.33209229
-212.53543091,-431.89065552,604.76623535
-212.15560913,-431.15255737,605.19622803
-211.06434631,-429.02435303,606.43743896
-210.50878906,-427.93829346,607.07135010
-209.74816895,-426.44631958,607.94323730
-209.65177917,-426.25354004,608.05664063
-209.00897217,-424.95440674,608.82348633
-208.55435181,-424.03363037,609.36737061
-207.68185425,-422.26354980,610.41351318
-207.38858032,-421.66711426,610.76629639
-206.43634033,-419.72595215,611.91534424
-205.91339111,-418.65853882,612.54748535
-205.12246704,-417.04168701,613.50543213
-204.96749878,-416.72320557,613.69439697
-204.27175903,-415.28515625,614.54943848
-203.83038330,-414.37100220,615.09338379
-203.05490112,-412.76187134,616.05139160
-202.83157349,-412.29675293,616.32855225
-202.21740723,-411.01196289,617.09539795
-201.91432190,-410.37579346,617.47546387
-201.51818848,-409.54003906,617.97564697
-201.48175049,-409.45983887,618.02423096
-201.13288879,-408.64508057,618.48767090
-200.87033081,-408.02691650,618.83618164
-200.34396362,-406.78112793,619.53479004
-200.15536499,-406.33148193,619.78503418
-199.50817871,-404.77941895,620.64318848
-199.14205933,-403.89868164,621.12854004
-198.56884766,-402.51507568,621.88830566
-198.44363403,-402.20983887,622.05413818
-197.81575012,-400.66543579,622.88525391
-197.40277100,-399.64688110,623.43182373
-196.65405273,-397.79620361,624.42254639
-196.42527771,-397.22842407,624.72515869
-195.75051880,-395.54623413,625.61749268
-195.40093994,-394.67211914,626.07971191
-194.91041565,-393.44064331,626.72814941
-194.83953857,-393.25921631,626.82165527
-194.37152100,-392.03674316,627.43859863
-194.04122925,-391.17034912,627.87377930
-193.40827942,-389.50488281,628.70751953
-193.19604492,-388.94372559,628.98706055
-192.50843811,-387.11749268,629.89221191
-192.13128662,-386.11328125,630.38867188
-191.56173706,-384.59222412,631.13818359
-191.45071411,-384.29266357,631.28417969
-190.95512390,-382.94009399,631.93524170
-190.64137268,-382.08032227,632.34729004
-190.09112549,-380.56698608,633.06976318
-189.93322754,-380.12963867,633.27697754
-189.50100708,-378.92150879,633.84368896
-189.28845215,-378.32333374,634.12225342
-189.01211548,-377.53759766,634.48413086
-188.98782349,-377.46228027,634.51568604
-188.71673584,-376.64501953,634.87231445
-188.50868225,-376.01986694,635.14636230
-188.08624268,-374.75323486,635.70336914
-187.93220520,-374.29272461,635.90667725
-187.39620972,-372.69381714,636.61486816
-187.09082031,-371.78387451,637.01861572
-186.60884094,-370.34963989,637.65612793
-186.50109863,-370.03021240,637.79876709
-185.94967651,-368.40048218,638.53015137
-185.58474731,-367.32299805,639.01428223
-184.91976929,-365.36102295,639.89691162
-184.71470642,-364.75683594,640.16918945
-184.10372925,-362.95953369,640.98107910
-183.78511047,-362.02313232,641.40460205
-183.33399963,-360.69915771,642.00457764
-183.26596069,-360.50073242,642.09533691
-182.79684448,-359.14071655,642.72229004
-182.46278381,-358.17346191,643.16894531
-181.81837463,-356.30926514,644.03094482
-181.60009766,-355.67864990,644.32312012
-180.88623047,-353.61892700,645.27905273
-180.49263000,-352.48406982,645.80627441
-179.89453125,-350.76098633,646.60766602
-179.77545166,-350.41888428,646.76733398
-179.23135376,-348.86044312,647.49792480
-178.88407898,-347.86672974,647.96447754
-178.27053833,-346.11279297,648.78900146
-178.09193420,-345.60311890,649.02917480
-177.59416199,-344.18579102,649.69915771
-177.34609985,-343.48062134,650.03326416
-177.01699829,-342.54736328,650.47686768
-176.98298645,-342.45260620,650.52301025
-176.66964722,-341.54559326,650.96142578
-176.43508911,-340.86291504,651.29101563
-175.96656799,-339.49435425,651.95123291
-175.79953003,-339.00396729,652.18756104
-175.22875977,-337.32131958,652.99780273
-174.90653992,-336.36938477,653.45599365
-174.40328979,-334.87902832,654.17297363
-174.29414368,-334.55346680,654.32934570
-173.75038147,-332.92092896,655.11260986
-173.39343262,-331.84719849,655.62756348
-172.74742126,-329.90057373,656.56085205
-172.55062866,-329.30575562,656.84582520
-171.97213745,-327.55142212,657.68585205
-171.67308044,-326.64251709,658.12084961
-171.25473022,-325.36709595,658.73095703
-171.19520569,-325.18280029,658.81884766
-170.80836487,-323.96594238,659.39739990
-170.53631592,-323.10717773,659.80541992
-170.01635742,-321.46154785,660.58697510
-169.84271240,-320.90972900,660.84881592
-169.28222656,-319.12194824,661.69653320
-168.97546387,-318.14138794,662.16131592
-168.51338196,-316.66055298,662.86291504
-168.42407227,-316.37182617,662.99951172
-168.02951050,-315.08331299,663.60778809
-167.78062439,-314.26757813,663.99261475
-167.34555054,-312.83691406,664.66717529
-167.22151184,-312.42639160,664.86047363
-166.88482666,-311.30267334,665.38891602
-166.72027588,-310.75003052,665.64849854
-166.50846863,-310.03155518,665.98535156
-166.49145508,-309.96838379,666.01452637
-166.33216858,-309.20788574,666.34613037
-166.21263123,-308.61920166,666.60119629
-165.97351074,-307.41748047,667.11981201
-165.88806152,-306.97607422,667.30932617
-165.59555054,-305.43136597,667.96960449
-165.43026733,-304.54873657,668.34606934
-165.17184448,-303.15130615,668.94079590
-165.11561584,-302.83612061,669.07397461
-164.83468628,-301.21035767,669.75744629
-164.65010071,-300.13201904,670.21002197
-164.31579590,-298.16329956,671.03515625
-164.21380615,-297.55416870,671.28985596
-163.91357422,-295.73272705,672.04943848
-163.75820923,-294.78063965,672.44580078
-163.54057312,-293.42840576,673.00738525
-163.50939941,-293.22146606,673.09240723
-163.30526733,-291.77471924,673.68103027
-163.16146851,-290.74157715,674.10058594
-162.88632202,-288.74456787,674.91027832
-162.79428101,-288.06597900,675.18481445
-162.49661255,-285.84066772,676.08325195
-162.33352661,-284.61184692,676.57879639
-162.08760071,-282.74108887,677.33227539
-162.03988647,-282.36636353,677.48254395
-161.82803345,-280.64288330,678.17041016
-161.69416809,-279.54028320,678.60974121
-161.45980835,-277.58847046,679.38635254
-161.39279175,-277.01809692,679.61267090
-161.21014404,-275.42083740,680.24426270
-161.12062073,-274.62213135,680.55938721
-161.00482178,-273.55706787,680.97802734
-160.99511719,-273.44287109,681.02178955
-160.87933350,-272.29904175,681.51391602
-160.78979492,-271.43280029,681.89196777
-160.60717773,-269.68923950,682.66015625
-160.54016113,-269.06097412,682.94055176
-160.30578613,-266.89532471,683.91674805
-160.17193604,-265.66732788,684.47314453
-159.96008301,-263.73962402,685.35156250
-159.91235352,-263.31533813,685.54809570
-159.66642761,-261.17282104,686.55517578
-159.50334167,-259.76068115,687.22186279
-159.20568848,-257.19610596,688.43695068
-159.11363220,-256.41003418,688.81176758
-158.83848572,-254.08343506,689.92913818
-158.69470215,-252.87527466,690.51196289
-158.49057007,-251.17471313,691.33752441
-158.45938110,-250.92523193,691.46228027
-158.24176025,-249.25167847,692.32379150
-158.08639526,-248.06668091,692.93750000
-157.78616333,-245.79022217,694.12170410
-157.68418884,-245.02398682,694.52307129
-157.34986877,-242.53273010,695.83593750
-157.16528320,-241.16360474,696.55987549
-156.88433838,-239.09112549,697.66027832
-156.82812500,-238.68382263,697.87951660
-156.56968689,-236.84927368,698.88220215
-156.40440369,-235.68411255,699.52233887
-156.11189270,-233.63478088,700.65368652
-156.02645874,-233.04336548,700.98315430
-155.78732300,-231.41279602,701.90197754
-155.66778564,-230.60658264,702.36010742
-155.50849915,-229.54977417,702.96826172
-155.49148560,-229.45014954,703.03149414
-155.21664429,-228.27252197,703.74993896
-154.99807739,-227.36276245,704.30261230
-154.54434204,-225.50787354,705.42633057
-154.37400818,-224.82769775,705.83685303
-153.76785278,-222.45046997,707.26757813
-153.41862488,-221.09301758,708.08325195
-152.86071777,-218.94540405,709.37182617
-152.73171997,-218.46203613,709.66052246
-152.05226135,-215.97290039,711.14135742
-151.59884644,-214.32275391,712.12194824
